family,instances,mean_max_mono_clique_present,mean_delay_score,mean_force_index,mean_red_density,mean_spectral_radius,mean_spectral_gap,mean_adjacency_energy,best_delay_score,best_n,mean_signature_value,mean_signature_phi_distance
fibonacci_block_growth,36,4.777777777777778,3.2768518518518523,0.3161706349206349,0.537365897537466,8.058431276557387,5.356936744047111,32.91296798322054,4.4,22,1.6219373219373214,0.013095938571948981
random_baseline,36,5.027777777777778,3.130555555555556,0.3392581569664903,0.5071951326755137,8.021909715264565,5.375602903915125,33.926070598044625,4.4,22,nan,nan
balanced_binary_partitions,36,5.333333333333333,3.0092592592592586,0.34437229437229444,0.5,7.524562187513734,4.003086857145781,28.20586104851348,4.0,16,1.0,0.6180339887498945
lucas_like_growth,36,5.277777777777778,2.9760582010582004,0.3466455226871894,0.5092924591225169,7.773612116519731,4.634582497267122,33.740543649377976,4.0,24,1.6327561327561317,0.0561491816251921
prime_anchor_partitioning,36,7.222222222222222,2.185473785473786,0.4676602332852332,0.33650115160104177,6.026837864526287,2.2299891065861934,23.538316865976505,3.0,24,2.218386243386244,0.6003522546363487
