family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
fibonacci_block_growth,16,2,5,4,4,5,5,5,6,6,3.2,0.3125,0.5333333333333333,8.071615418344516,4.828878810121487,33.541211349453626,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,16,3,4,5,5,4,5,5,6,6,3.2,0.3125,0.5333333333333333,8.074874201029466,5.363739878071547,32.4007450823672,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,18,0,5,5,5,5,5,5,6,6,3.6,0.2777777777777778,0.5163398692810458,8.829123234538189,5.592071014570321,37.337070772873595,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,18,1,5,5,5,5,5,5,6,6,3.6,0.2777777777777778,0.5424836601307189,9.263481740485329,6.043312455620422,36.58039156689496,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,18,2,5,5,5,5,5,5,6,6,3.6,0.2777777777777778,0.5424836601307189,9.281343212721332,5.738895028106651,38.9437900776025,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,18,3,4,6,6,4,6,6,7,7,3.0,0.3333333333333333,0.5163398692810458,8.825813854988155,5.8985903847088235,37.71329241151639,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,20,0,5,5,5,5,5,5,6,6,4.0,0.25,0.5157894736842106,9.860791352996076,6.351399421010851,43.39765359158424,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,20,1,5,5,5,5,5,5,6,6,4.0,0.25,0.5368421052631579,10.242542910103166,6.640310608578301,42.8183701817836,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,20,2,5,5,5,5,5,5,6,6,4.0,0.25,0.5368421052631579,10.244592831801853,6.412221677425472,45.37688293010285,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,20,3,4,6,6,4,6,6,7,7,3.3333333333333335,0.3,0.5105263157894737,9.776355268511988,6.488956811376637,42.984212677112026,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,22,0,5,5,5,5,5,5,6,6,4.4,0.22727272727272727,0.5151515151515151,10.831601268376467,7.203904247417943,49.55578625399938,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,22,1,6,6,6,6,6,6,7,7,3.6666666666666665,0.2727272727272727,0.5324675324675324,11.272717312402655,7.548948750278619,49.562713494577224,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,22,2,5,5,5,5,5,5,6,6,4.4,0.22727272727272727,0.5281385281385281,11.128143181207495,7.218087572584777,51.184238220745414,fib_block_ratio,1.6153846153846154,0.0026493733652794837
