target,gap_rows,linear_gap_cv_r2,nonlinear_gap_cv_r2,nonlinear_minus_linear_gap_r2,linear_gap_rmse,nonlinear_gap_rmse
delay,264,-0.03138080329756643,-0.01744637574624197,0.013934427551324458,0.39669682835317616,0.39400793741086104
force,264,-0.01963535739323241,0.029615568291547656,0.04925092568478007,0.036273145341628045,0.03538626151779488
