target,baseline_cv_r2,linear_combined_cv_r2,nonlinear_combined_cv_r2,linear_lift,nonlinear_lift,nonlinear_minus_linear_lift,linear_residual_r2,nonlinear_residual_r2,nonlinear_minus_linear_residual_r2,linear_combined_rmse,nonlinear_combined_rmse
delay,0.6999206843668049,0.6994522680179094,0.7156354985132443,-0.0004684163488954951,0.015714814146439382,0.016183230495334877,-0.0015618219428676916,0.05236806703994079,0.05392988898280848,0.3834406268130917,0.3729744555547838
force,0.6651696139135129,0.6713037140266254,0.752216361336771,0.0061341001131124395,0.08704674742325802,0.08091264731014558,0.01831910233984113,0.2599719704526179,0.24165286811277675,0.041132956182482736,0.03571320589327369
delta_delay_vs_random,0.2256152298333668,0.21925990325922506,0.23252206906723083,-0.006355326574141729,0.006906839233864037,0.013262165808005766,-0.008207702742206502,0.008918377727457516,0.017126080469664018,0.4370204373980396,0.4332927809105285
delta_force_vs_random,0.25395833300725645,0.24614287040410576,0.29538625228177806,-0.007815462603150691,0.04142791927452161,0.0492433818776723,-0.010476658484345203,0.05552959922511291,0.06600625770945812,0.04503854196522234,0.04354270002837543
