evaluation,family,best_horizon,best_test_error,avg_test_error,best_train_error,avg_num_states_train,best_packet_within_scale_test_error,best_packet_cross_scale_test_error
cross_scale,base_spin,8,1.1167470955366254,1.126238692291624,0.8965489611066366,254.25,0.9865538737427051,1.0
cross_scale,spin_only,8,1.0029823065163037,1.0251895887245361,0.995153206868687,147.75,0.9865538737427051,1.0
within_scale,base_spin,8,1.0,1.0,0.8965489611066366,259.0,0.9865538737427051,1.0
within_scale,spin_only,8,0.9986928601567902,0.9995475296702205,0.995153206868687,148.5,0.9865538737427051,1.0
