parent_W,child_W,refinement_ratio,refinement_prime_guess,H,parent_spin_state_count,child_spin_state_count,parent_predictive_state_count,child_predictive_state_count,predictive_state_delta,split_parent_positions,consistency_rate_under_projection,internal_split_active,visible_split_active
510510,9699690,19,19,11,18,18,74,74,0,25587,0.6992771933948405,1,0
510510,9699690,19,19,12,20,20,78,78,0,27804,0.6732208967503085,1,0
510510,9699690,19,19,13,22,22,82,82,0,30021,0.6471646001057766,1,0
510510,9699690,19,19,14,24,24,86,86,0,32238,0.6211083034612446,1,0
510510,9699690,19,19,15,26,26,90,90,0,34455,0.5950520068167127,1,0
510510,9699690,19,19,16,29,29,96,96,0,36222,0.5742845389904214,1,0
510510,9699690,19,19,17,32,32,102,102,0,37989,0.55351707116413,1,0
510510,9699690,19,19,18,35,35,108,108,0,39756,0.5327496033378386,1,0
510510,9699690,19,19,19,38,38,114,114,0,41523,0.5119821355115473,1,0
510510,9699690,19,19,20,41,41,120,120,0,43290,0.4912146676852559,1,0
510510,9699690,19,19,21,47,47,130,130,0,44835,0.4730563554092966,1,0
510510,9699690,19,19,22,53,53,140,140,0,46380,0.45489804313333726,1,0
510510,9699690,19,19,23,59,59,150,150,0,47925,0.43673973085737794,1,0
510510,9699690,19,19,24,65,65,160,160,0,49470,0.4185814185814186,1,0
510510,9699690,19,19,25,71,71,170,170,0,51015,0.4004231063054593,1,0
510510,9699690,19,19,26,77,77,180,180,0,52560,0.38226479402949987,1,0
510510,9699690,19,19,27,83,83,190,190,0,54105,0.36410648175354055,1,0
510510,9699690,19,19,28,89,89,200,200,0,55650,0.3459481694775812,1,0
510510,9699690,19,19,29,95,95,210,210,0,57195,0.3277898572016219,1,0
510510,9699690,19,19,30,101,101,220,220,0,58740,0.3096315449256626,1,0
510510,9699690,19,19,31,109,109,232,232,0,60093,0.2937297996121525,1,0
510510,9699690,19,19,32,117,117,244,244,0,61446,0.27782805429864255,1,0
510510,9699690,19,19,33,125,125,256,256,0,62799,0.26192630898513247,1,0
510510,9699690,19,19,34,133,133,268,268,0,64152,0.2460245636716225,1,0
510510,9699690,19,19,35,141,141,280,280,0,65505,0.23012281835811244,1,0
510510,9699690,19,19,36,156,156,303,303,0,66329,0.2204383851442675,1,0
510510,9699690,19,19,37,171,171,326,326,0,67153,0.21075395193042257,1,0
510510,9699690,19,19,38,186,186,349,349,0,67977,0.20106951871657752,1,0
510510,9699690,19,19,39,201,201,372,372,0,68801,0.1913850855027326,1,0
510510,9699690,19,19,40,216,216,395,395,0,69625,0.18170065228888754,1,0
510510,9699690,19,19,41,235,235,422,422,0,70265,0.1741787624140565,1,0
510510,9699690,19,19,42,254,254,449,449,0,70905,0.16665687253922545,1,0
510510,9699690,19,19,43,273,273,476,476,0,71545,0.1591349826643944,1,0
510510,9699690,19,19,44,292,292,503,503,0,72185,0.15161309278956336,1,0
510510,9699690,19,19,45,311,311,530,530,0,72825,0.14409120291473232,1,0
510510,9699690,19,19,46,330,330,557,557,0,73465,0.13656931303990127,1,0
510510,9699690,19,19,47,349,349,584,584,0,74105,0.12904742316507023,1,0
510510,9699690,19,19,48,368,368,611,611,0,74745,0.12152553329023918,1,0
510510,9699690,19,19,49,387,387,638,638,0,75385,0.11400364341540814,1,0
510510,9699690,19,19,50,406,406,665,665,0,76025,0.1064817535405771,1,0
510510,9699690,19,19,51,432,432,702,702,0,76473,0.1012164306281953,1,0
510510,9699690,19,19,52,458,458,739,739,0,76921,0.09595110771581361,1,0
510510,9699690,19,19,53,484,484,776,776,0,77369,0.09068578480343181,1,0
510510,9699690,19,19,54,510,510,813,813,0,77817,0.08542046189105013,1,0
510510,9699690,19,19,55,536,536,850,850,0,78265,0.08015513897866844,1,0
510510,9699690,19,19,56,582,582,911,911,0,78577,0.07648821766468827,1,0
510510,9699690,19,19,57,628,628,972,972,0,78889,0.07282129635070811,1,0
510510,9699690,19,19,58,674,674,1033,1033,0,79201,0.06915437503672794,1,0
510510,9699690,19,19,59,720,720,1094,1094,0,79513,0.06548745372274789,1,0
510510,9699690,19,19,60,766,766,1155,1155,0,79825,0.061820532408767725,1,0
