model,test_loss,test_accuracy,transfer_query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v20,5.769984722137451,0.6044456958770752,0.6435381174087524,5699,10,2.043177167070098,0.0062933339504525065
tiny_transformer_baseline_v20,2.233337640762329,0.4576822817325592,0.4793432056903839,70531,64,5.5309512920212,0.03647400008048862
