config,variant,D,final_acc,solve_step,decodability_final,runtime_seconds,canon_acc,note
IMPOSSIBILITY_FINDING,,,,,,,,"branch=policy_path_ablation_probe_v1; TRUE_NO_SUBSTITUTE_ABLATION=STRUCTURALLY_IMPOSSIBLE; reason=w_is_sole_input_to_apply_split_transport_via_base=einsum(w,tn)_no_bypass_exists; W1_W2_W_emb_fused_with_transport_step_in_soft_step; disabling_without_substitute_makes_forward_unexecutable; any_replacement_for_w_is_a_substitute_not_an_ablation"
baseline_full,original_s42,20,0.6748,500,1.0,133.2,0.9956,branch=policy_path_ablation_probe_v1; config=baseline_full; variant=original_s42; D=20; seed=42; D_HIDDEN=32; ablate_policy=False; rng_fix=True; workers=8xthreads=1; VALID_BASELINE
baseline_full,original_s42,32,0.9814,,1.0,194.6,0.9395,branch=policy_path_ablation_probe_v1; config=baseline_full; variant=original_s42; D=32; seed=42; D_HIDDEN=32; ablate_policy=False; rng_fix=True; workers=8xthreads=1; VALID_BASELINE
baseline_full,shift1_s42,20,0.9756,,1.0,134.6,0.999,branch=policy_path_ablation_probe_v1; config=baseline_full; variant=shift1_s42; D=20; seed=42; D_HIDDEN=32; ablate_policy=False; rng_fix=True; workers=8xthreads=1; VALID_BASELINE
baseline_full,shift1_s42,32,0.9932,,1.0,213.7,0.9727,branch=policy_path_ablation_probe_v1; config=baseline_full; variant=shift1_s42; D=32; seed=42; D_HIDDEN=32; ablate_policy=False; rng_fix=True; workers=8xthreads=1; VALID_BASELINE
surrogate_ang_sim_detach_REJECTED,original_s42,20,0.999,1000,1.0,51.6,0.9956,branch=policy_path_ablation_probe_v1; config=surrogate_ang_sim_detach; variant=original_s42; D=20; seed=42; METHODOLOGY_REJECTED=introduces_substitute_routing_signal; not_a_necessity_test; data_preserved_for_reference_only
surrogate_ang_sim_detach_REJECTED,original_s42,32,0.9961,,1.0,85.3,0.9395,branch=policy_path_ablation_probe_v1; config=surrogate_ang_sim_detach; variant=original_s42; D=32; seed=42; METHODOLOGY_REJECTED=introduces_substitute_routing_signal; not_a_necessity_test; data_preserved_for_reference_only
surrogate_ang_sim_detach_REJECTED,shift1_s42,20,0.999,2000,1.0,52.9,0.999,branch=policy_path_ablation_probe_v1; config=surrogate_ang_sim_detach; variant=shift1_s42; D=20; seed=42; METHODOLOGY_REJECTED=introduces_substitute_routing_signal; not_a_necessity_test; data_preserved_for_reference_only
surrogate_ang_sim_detach_REJECTED,shift1_s42,32,0.9873,,1.0,86.4,0.9727,branch=policy_path_ablation_probe_v1; config=surrogate_ang_sim_detach; variant=shift1_s42; D=32; seed=42; METHODOLOGY_REJECTED=introduces_substitute_routing_signal; not_a_necessity_test; data_preserved_for_reference_only
