case,variant,timestep,full_radial,subspace_radial,radial_ratio,direction_metric,direction_old,direction_new,h3_sin_disp,phase_delta_cos,phase_delta_sin,match_flag,success_flag,n_samples,notes
B,eps0.0_D20,18,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=18
A,eps0.0_D20,19,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=19
B,eps0.0_D20,19,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=19
A,eps0.0_D20,20,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=20
B,eps0.0_D20,20,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=20
C,matched=1_eps1.0_D1,0,3.1622774600982666,1.0,0.3162277638912201,1.8204762142204345e-08,1.0,1.0,2.487155938979413e-07,nan,nan,1.0,nan,203,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=1;t=0
C,matched=0_eps1.0_D1,0,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=1;t=0
C,matched=1_eps1.0_D1,1,3.1622774600982666,1.0,0.3162277638912201,1.8204762142204345e-08,1.0,1.0,2.487155938979413e-07,nan,nan,1.0,nan,203,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=1;t=1
C,matched=0_eps1.0_D1,1,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=1;t=1
C,matched=1_eps1.0_D5,0,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=0
C,matched=0_eps1.0_D5,0,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=0
C,matched=1_eps1.0_D5,1,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=1
C,matched=0_eps1.0_D5,1,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=1
C,matched=1_eps1.0_D5,2,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=2
C,matched=0_eps1.0_D5,2,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=2
C,matched=1_eps1.0_D5,3,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=3
C,matched=0_eps1.0_D5,3,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=3
C,matched=1_eps1.0_D5,4,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=4
C,matched=0_eps1.0_D5,4,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=4
C,matched=1_eps1.0_D5,5,3.1622774600982666,1.0,0.3162277638912201,2.2294958768043216e-08,1.0,1.0,2.6977645006809325e-07,nan,nan,1.0,nan,221,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=5;t=5
C,matched=0_eps1.0_D5,5,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=5;t=5
C,matched=1_eps1.0_D20,0,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=0
C,matched=0_eps1.0_D20,0,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=0
C,matched=1_eps1.0_D20,1,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=1
C,matched=0_eps1.0_D20,1,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=1
C,matched=1_eps1.0_D20,2,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=2
C,matched=0_eps1.0_D20,2,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=2
C,matched=1_eps1.0_D20,3,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=3
C,matched=0_eps1.0_D20,3,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=3
C,matched=1_eps1.0_D20,4,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=4
C,matched=0_eps1.0_D20,4,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=4
C,matched=1_eps1.0_D20,5,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=5
C,matched=0_eps1.0_D20,5,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=5
C,matched=1_eps1.0_D20,6,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=6
C,matched=0_eps1.0_D20,6,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=6
C,matched=1_eps1.0_D20,7,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=7
C,matched=0_eps1.0_D20,7,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=7
C,matched=1_eps1.0_D20,8,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=8
C,matched=0_eps1.0_D20,8,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=8
C,matched=1_eps1.0_D20,9,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=9
C,matched=0_eps1.0_D20,9,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=9
C,matched=1_eps1.0_D20,10,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=10
C,matched=0_eps1.0_D20,10,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=10
C,matched=1_eps1.0_D20,11,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=11
C,matched=0_eps1.0_D20,11,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=11
C,matched=1_eps1.0_D20,12,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=12
C,matched=0_eps1.0_D20,12,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=12
C,matched=1_eps1.0_D20,13,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=13
C,matched=0_eps1.0_D20,13,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=13
C,matched=1_eps1.0_D20,14,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=14
C,matched=0_eps1.0_D20,14,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=14
C,matched=1_eps1.0_D20,15,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=15
C,matched=0_eps1.0_D20,15,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=15
C,matched=1_eps1.0_D20,16,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=16
C,matched=0_eps1.0_D20,16,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=16
C,matched=1_eps1.0_D20,17,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=17
C,matched=0_eps1.0_D20,17,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=17
C,matched=1_eps1.0_D20,18,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=18
C,matched=0_eps1.0_D20,18,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=18
C,matched=1_eps1.0_D20,19,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=19
C,matched=0_eps1.0_D20,19,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=19
C,matched=1_eps1.0_D20,20,3.1622774600982666,1.0,0.3162277638912201,7.687843250892001e-09,1.0,1.0,2.57841605844078e-07,nan,nan,1.0,nan,214,CASE_C;matched;sin_disp=0.0000;cos=1.0000;eps=1.0;D=20;t=20
C,matched=0_eps1.0_D20,20,3.1622774600982666,1.0,0.3162277638912201,0.056872036308050156,-0.32701414823532104,-0.32701414823532104,0.6729859113693237,nan,nan,0.0,nan,422,CASE_C;mismatched;sin_disp=0.6730;cos=-0.3270;eps=1.0;D=20;t=20
D,sflag=1_eps0.0_D1,1,3.1622774600982666,1.0,0.3162277340888977,1.0,-2.728406656160587e-08,1.0,2.488362724761828e-07,nan,nan,1.0,1.0,904,CASE_D;success;n=904;dir_old=-0.0000;dir_new=1.0000;sin_disp=0.0000;eps=0.0;D=1
D,sflag=0_eps0.0_D1,1,3.1622774600982666,1.0,0.3162277936935425,-2.8411413666162844e-08,0.44999998807907104,-2.8411413666162844e-08,1.0,nan,nan,0.0,0.0,120,CASE_D;failure;n=120;dir_old=0.4500;dir_new=-0.0000;sin_disp=1.0000;eps=0.0;D=1
D,sflag=1_eps0.0_D5,5,3.1622774600982666,1.0,0.3162277340888977,1.0,-2.728406656160587e-08,1.0,2.488362724761828e-07,nan,nan,1.0,1.0,904,CASE_D;success;n=904;dir_old=-0.0000;dir_new=1.0000;sin_disp=0.0000;eps=0.0;D=5
D,sflag=0_eps0.0_D5,5,3.1622774600982666,1.0,0.3162277936935425,-2.8411413666162844e-08,0.44999998807907104,-2.8411413666162844e-08,1.0,nan,nan,0.0,0.0,120,CASE_D;failure;n=120;dir_old=0.4500;dir_new=-0.0000;sin_disp=1.0000;eps=0.0;D=5
D,sflag=1_eps0.0_D20,20,3.1622774600982666,1.0,0.3162277340888977,1.0,-2.728406656160587e-08,1.0,2.488362724761828e-07,nan,nan,1.0,1.0,904,CASE_D;success;n=904;dir_old=-0.0000;dir_new=1.0000;sin_disp=0.0000;eps=0.0;D=20
D,sflag=0_eps0.0_D20,20,3.1622774600982666,1.0,0.3162277936935425,-2.8411413666162844e-08,0.44999998807907104,-2.8411413666162844e-08,1.0,nan,nan,0.0,0.0,120,CASE_D;failure;n=120;dir_old=0.4500;dir_new=-0.0000;sin_disp=1.0000;eps=0.0;D=20
