case,variant,timestep,full_radial,subspace_radial,radial_ratio,direction_metric,direction_old,direction_new,h3_sin_disp,phase_delta_cos,phase_delta_sin,match_flag,success_flag,n_samples,notes
B,eps1.0_D20,4,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=4
A,eps1.0_D20,5,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=5
B,eps1.0_D20,5,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=5
A,eps1.0_D20,6,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=6
B,eps1.0_D20,6,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=6
A,eps1.0_D20,7,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=7
B,eps1.0_D20,7,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=7
A,eps1.0_D20,8,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=8
B,eps1.0_D20,8,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=8
A,eps1.0_D20,9,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=9
