checkpoint,position,attention_logit_mean,attention_weight_mean,attention_grad_norm,tau_state_norm,tau_state_variance,tau_x0_between_var,router_grad_norm,W_attn_grad_norm,v_attn_grad_norm,W_tok_inject_grad_norm,W1_grad_norm,W_pred_grad_norm,accuracy_normal,accuracy_uniform_attn,attn_logit_pos_var,attn_max_pos,loss,note
0,20,0.001351,0.041677,9.6e-07,1.439279,0.030638,0.00012206,0.003264,7.1e-05,0.000139,0.003959,0.002528,0.084482,0.2383,0.2383,9e-06,19,1.3949,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
0,21,0.00133,0.041676,8.9e-07,1.437011,0.029982,0.00013668,0.003264,7.1e-05,0.000139,0.003959,0.002528,0.084482,0.2383,0.2383,9e-06,19,1.3949,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
0,22,0.001493,0.041683,9e-07,1.4392,0.028825,0.00015985,0.003264,7.1e-05,0.000139,0.003959,0.002528,0.084482,0.2383,0.2383,9e-06,19,1.3949,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
0,23,0.001392,0.041679,9.3e-07,1.437947,0.030131,0.00012775,0.003264,7.1e-05,0.000139,0.003959,0.002528,0.084482,0.2383,0.2383,9e-06,19,1.3949,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,0,-0.001121,0.041575,1.15e-06,1.493923,0.041721,0.00252715,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,1,0.00045,0.041641,9.6e-07,1.437134,0.034977,0.00015469,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,2,0.000556,0.041645,9.6e-07,1.444639,0.035603,0.00015302,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,3,0.000774,0.041654,9.3e-07,1.439391,0.033256,8.78e-05,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,4,0.00116,0.04167,8.7e-07,1.43306,0.030205,9.376e-05,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,5,0.001089,0.041667,8.6e-07,1.442581,0.033034,0.0001959,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,6,0.001101,0.041668,8.7e-07,1.436938,0.031823,0.00016648,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,7,0.001469,0.041683,9.1e-07,1.441614,0.030532,0.00014838,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,8,0.00103,0.041665,8.7e-07,1.436381,0.031755,0.00016901,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
