tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,parent_class_b,parent_class_spin_code,parent_class_frequency,child_future_classes_produced,dominant_phi_tuple,dominant_phi_tuple_share,phi_tuple_support_size,boundary_any_fraction
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,22,1024,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,22,1056,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,23,64,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,23,2048,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,23,2112,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,24,128,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,24,4096,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,24,4224,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,25,256,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,25,8192,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,25,8448,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,26,512,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,26,16384,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,26,16896,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,27,1024,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,27,32768,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,27,33792,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,28,2048,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,28,65536,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,28,67584,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,29,4096,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,29,131072,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,29,135168,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,30,8192,3,2,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,30,262144,3,2,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,30,270336,4,4,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,31,0,1,2,(10),1.0,1,1.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,31,16384,3,3,(7),0.3333333333333333,3,0.3333333333333333
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,31,524288,3,4,(8),0.3333333333333333,3,0.0
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,31,540672,4,8,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,32,1,2,2,(4),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,32,32768,2,2,(6),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,32,32769,5,3,(9),0.2,5,0.4
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,33,2,2,2,(4),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,33,65536,2,2,(6),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,33,65538,5,3,(9),0.2,5,0.4
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,34,4,2,2,(4),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,34,131072,2,2,(6),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,34,131076,5,3,(9),0.2,5,0.4
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,0,4,2,2,(5),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,0,131072,2,2,(1),0.5,2,1.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,0,131076,5,3,(9),0.2,5,0.4
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,1,8,2,2,(5),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,1,262144,2,2,(1),0.5,2,1.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,1,262152,5,3,(9),0.2,5,0.4
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,2,0,2,2,(3),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,2,16,2,2,(5),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,2,524288,2,4,(1),0.5,2,1.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,2,524304,5,6,(9),0.2,5,0.4
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,3,1,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,3,32,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,3,33,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,4,2,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,4,64,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,4,66,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,5,4,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,5,128,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,5,132,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,6,8,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,6,256,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,6,264,4,3,(9),0.25,4,0.5
