policy,route_reuse_fraction,query_hit_fraction_on_reuse,per_entity_retrieval_accuracy,shared_ledger_retrieval_accuracy,action_correctness,joint_control_loop_correctness,promoted_query_fraction_on_reuse,promotion_step_fraction,effective_joint_state_resolution_fraction,route_decision_instability
baseline,0.8411588411588411,1.0,1.0,1.0,0.5975357975357976,0.4287376200235855,0.48843742442001076,0.4595404595404595,0.7133465916037847,0.0
context_packet,0.8411588411588411,1.0,1.0,1.0,0.7577422577422577,0.4768426712341106,0.48843742442001076,0.4595404595404595,0.7550088938871817,0.0
improved_packet,0.8411588411588411,1.0,1.0,1.0,0.7676989676989677,0.49339896262483907,0.48843742442001076,0.4595404595404595,0.7603114941566694,0.0
attractor_identity,0.8411588411588411,1.0,1.0,1.0,0.8437895437895437,0.6188811188811189,0.48843742442001076,0.4595404595404595,0.8006260406260406,0.0
