trace_source,tuplet_name,offsets,parent_W,child_W,visible_H_first,trace_length,r_depth,promoted_steps,promoted_routes,promotion_step_fraction,promotion_route_fraction,top1_route_share,top5_route_share,top1_gap_share,top5_gap_share,top1_base_share,top5_base_share,fallback_burden_class
visible_threshold_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",2310,30030,21,385,1,105,15,0.2727272727272727,0.14285714285714285,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,B_moderately_structured
visible_threshold_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",2310,30030,21,385,1,105,15,0.2727272727272727,0.125,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,B_moderately_structured
visible_threshold_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",2310,30030,6,385,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B_moderately_structured
visible_threshold_tight_density_matched_rows.csv,quad_alt_0826,"[0,2,8,26]",2310,30030,16,385,1,105,15,0.2727272727272727,0.15,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.3333333333333333,B_moderately_structured
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,105,15,0.2727272727272727,0.14285714285714285,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.3333333333333333,B_moderately_structured
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,135,30,0.35064935064935066,0.24,0.05185185185185185,0.25925925925925924,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,B_moderately_structured
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,3255,60,0.6503496503496503,0.24,0.01935483870967742,0.0967741935483871,0.05806451612903226,0.2903225806451613,0.03225806451612903,0.16129032258064516,C_diffuse
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,3610,70,0.7212787212787213,0.18421052631578946,0.017451523545706372,0.08725761772853186,0.05235457063711911,0.26177285318559557,0.029362880886426593,0.14681440443213298,B_moderately_structured
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,4205,100,0.8401598401598401,0.4166666666666667,0.01498216409036861,0.07491082045184304,0.04494649227110583,0.22473246135552913,0.03210463733650416,0.1605231866825208,C_diffuse
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,4375,100,0.8741258741258742,0.5263157894736842,0.0144,0.072,0.0432,0.216,0.029485714285714285,0.14742857142857144,C_diffuse
ALL,ALL,ALL,,,,22330,,16000,420,0.45274725274725275,0.2167907268170426,0.0384707044864271,0.19235352243213544,0.06652322457039239,0.332616122851962,0.045654463035810736,0.2282723151790537,B_moderately_structured
