model,training_budget,delay,metric_name,metric_value,transport_usage_fraction,route_entropy,note
traj_inject_router_b2000,2000,8,mean_attn_weight,0.1249,0.199,1.6821,step=5
traj_inject_router_b2000,2000,8,mean_attn_weight,0.1249,0.199,1.6821,step=6
traj_inject_router_b2000,2000,8,mean_attn_weight,0.1249,0.199,1.6821,step=7
traj_inject_router_b2000,2000,16,accuracy,0.275,0.8459,1.7187,first_token_recall_D16
traj_inject_router_b2000,2000,16,transport_frac,0.8459,0.8459,1.7187,first_token_recall_D16
traj_inject_router_b2000,2000,16,route_entropy,1.7187,0.8459,1.7187,first_token_recall_D16
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=0
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=1
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=2
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=3
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=4
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=5
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=6
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=7
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=8
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=9
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=10
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=11
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=12
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=13
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=14
traj_inject_router_b2000,2000,16,mean_attn_weight,0.0625,0.8459,1.7187,step=15
traj_inject_router_b5000,5000,2,accuracy,0.646,0.0735,0.4704,first_token_recall_D2
traj_inject_router_b5000,5000,2,transport_frac,0.0735,0.0735,0.4704,first_token_recall_D2
traj_inject_router_b5000,5000,2,route_entropy,0.4704,0.0735,0.4704,first_token_recall_D2
traj_inject_router_b5000,5000,2,mean_attn_weight,0.5002,0.0735,0.4704,step=0
traj_inject_router_b5000,5000,2,mean_attn_weight,0.4998,0.0735,0.4704,step=1
traj_inject_router_b5000,5000,4,accuracy,0.52,0.9875,1.1699,first_token_recall_D4
traj_inject_router_b5000,5000,4,transport_frac,0.9875,0.9875,1.1699,first_token_recall_D4
traj_inject_router_b5000,5000,4,route_entropy,1.1699,0.9875,1.1699,first_token_recall_D4
traj_inject_router_b5000,5000,4,mean_attn_weight,0.25,0.9875,1.1699,step=0
traj_inject_router_b5000,5000,4,mean_attn_weight,0.2498,0.9875,1.1699,step=1
traj_inject_router_b5000,5000,4,mean_attn_weight,0.2498,0.9875,1.1699,step=2
traj_inject_router_b5000,5000,4,mean_attn_weight,0.2504,0.9875,1.1699,step=3
traj_inject_router_b5000,5000,8,accuracy,0.454,0.5833,1.5901,first_token_recall_D8
traj_inject_router_b5000,5000,8,transport_frac,0.5833,0.5833,1.5901,first_token_recall_D8
traj_inject_router_b5000,5000,8,route_entropy,1.5901,0.5833,1.5901,first_token_recall_D8
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1278,0.5833,1.5901,step=0
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1277,0.5833,1.5901,step=1
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1263,0.5833,1.5901,step=2
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1253,0.5833,1.5901,step=3
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1243,0.5833,1.5901,step=4
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1234,0.5833,1.5901,step=5
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1229,0.5833,1.5901,step=6
traj_inject_router_b5000,5000,8,mean_attn_weight,0.1222,0.5833,1.5901,step=7
traj_inject_router_b5000,5000,16,accuracy,0.367,0.8395,1.7156,first_token_recall_D16
traj_inject_router_b5000,5000,16,transport_frac,0.8395,0.8395,1.7156,first_token_recall_D16
traj_inject_router_b5000,5000,16,route_entropy,1.7156,0.8395,1.7156,first_token_recall_D16
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=0
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=1
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=2
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=3
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=4
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=5
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=6
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=7
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=8
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=9
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=10
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=11
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=12
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=13
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=14
traj_inject_router_b5000,5000,16,mean_attn_weight,0.0625,0.8395,1.7156,step=15
