model,test_loss,test_accuracy,transfer_query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v21,5.769324779510498,0.6050037145614624,0.6864057779312134,5699,10,2.095741124940105,0.003990791970863938
tiny_transformer_baseline_v21,2.4150736331939697,0.4385230541229248,0.45623070001602173,70531,64,5.330185416969471,0.03704633307643235
