candidate,mean_purity_gain_over_b_only,min_purity_gain_over_b_only,max_purity_gain_over_b_only,mean_candidate_exact_purity_fraction,mean_candidate_to_target_label_ratio,spearman_visible_threshold
prev_next_gap_pair,0.2484044128966601,0.10677030067498461,0.42405063291139244,0.46856477589264134,1.539815778208287,-0.9939209163101398
next_return_gap,0.17152481542797807,0.06627122110861117,0.24921135646687698,0.39168517842395933,0.6121906310452204,-0.9817255676437577
local_transition_3,0.036831498212320825,0.0,0.17741935483870974,0.25699186120830214,0.4059643848549572,-0.9625687974826503
recent_suffix_3,0.027346862083714972,0.0,0.17741935483870974,0.2475072250796963,0.4177511716417439,-0.9248210015029386
recent_suffix_5,0.027346862083714972,0.0,0.17741935483870974,0.2475072250796963,0.47692712738928816,-0.9248210015029386
