case,relation,D,timestep,cos_metric,sin_metric,full_radial,subspace_radial,radial_ratio,success_flag,match_flag,eps_high,n_samples,notes
B,adj_plus1,20,15,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=15
B,opposite,20,15,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=15
B,adj_minus1,20,15,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=15
A,matched,20,16,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=20;t=16
B,adj_plus1,20,16,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=16
B,opposite,20,16,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=16
B,adj_minus1,20,16,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=16
A,matched,20,17,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=20;t=17
B,adj_plus1,20,17,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=17
B,opposite,20,17,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=17
B,adj_minus1,20,17,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=17
A,matched,20,18,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=20;t=18
B,adj_plus1,20,18,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=18
B,opposite,20,18,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=18
B,adj_minus1,20,18,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=18
A,matched,20,19,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=20;t=19
B,adj_plus1,20,19,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=19
B,opposite,20,19,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=19
B,adj_minus1,20,19,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=19
A,matched,20,20,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=20;t=20
B,adj_plus1,20,20,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=20;t=20
B,opposite,20,20,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=20;t=20
B,adj_minus1,20,20,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=20;t=20
C,success,20,0,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=0
C,failure,20,0,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=0;no_samples
C,success,20,1,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=1
C,failure,20,1,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=1;no_samples
C,success,20,2,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=2
C,failure,20,2,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=2;no_samples
