tuplet_name,offsets,parent_W,child_W,new_prime,H,parent_predictive_state_count,child_predictive_state_count,predictive_state_delta,internal_split_active,visible_split_active,internal_split_parent_positions
double_twins_p19,0 2 38 40,510510,9699690,19,5,73,73,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,6,88,88,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,7,103,103,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,8,125,125,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,9,147,147,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,10,169,169,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,11,199,199,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,12,229,229,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,13,273,273,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,14,317,317,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,15,361,361,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,16,405,405,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,17,449,449,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,18,501,501,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,19,554,554,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,20,607,607,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,21,660,660,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,22,713,713,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,23,766,766,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,24,823,823,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,25,880,880,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,26,945,945,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,27,1010,1010,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,28,1075,1075,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,29,1155,1155,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,30,1235,1235,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,31,1343,1343,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,32,1451,1451,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,33,1568,1568,0,1,0,4914
double_twins_p19,0 2 38 40,510510,9699690,19,34,1707,1711,4,1,1,4914
