operator,cluster,period,count,fraction,prime_factorization,all_factors_in_2_3_5,largest_prime_factor,divides_60,multiple_of_60,extra_prime_present,note
T_z',transport,48,11,0.011,2^4 × 3,True,3,False,False,False,
T_z',transport,42,11,0.011,2 × 3 × 7,False,7,False,False,True,extra primes: [7]
T_z',transport,44,9,0.009,2^2 × 11,False,11,False,False,True,extra primes: [11]
T_z',transport,12,7,0.007,2^2 × 3,True,3,True,False,False,divides_60
T_z',transport,11,5,0.005,11,False,11,False,False,True,extra primes: [11]
T_z',transport,3,5,0.005,3,True,3,True,False,False,divides_60
T_z',transport,15,5,0.005,3 × 5,True,5,True,False,False,divides_60
T_z',transport,75,4,0.004,3 × 5^2,True,5,False,False,False,
T_z',transport,19,4,0.004,19,False,19,False,False,True,extra primes: [19]
T_z',transport,4,4,0.004,2^2,True,2,True,False,False,divides_60
T_z',transport,27,4,0.004,3^3,True,3,False,False,False,
T_z',transport,13,2,0.002,13,False,13,False,False,True,extra primes: [13]
T_r*,transport,75,78,0.078,3 × 5^2,True,5,False,False,False,
T_r*,transport,519,54,0.054,3 × 173,False,173,False,False,True,extra primes: [173]
T_r*,transport,76,54,0.054,2^2 × 19,False,19,False,False,True,extra primes: [19]
T_r*,transport,234,53,0.053,2 × 3^2 × 13,False,13,False,False,True,extra primes: [13]
T_r*,transport,51,53,0.053,3 × 17,False,17,False,False,True,extra primes: [17]
T_r*,transport,50,52,0.052,2 × 5^2,True,5,False,False,False,
T_r*,transport,27,52,0.052,3^3,True,3,False,False,False,
T_r*,transport,237,51,0.051,3 × 79,False,79,False,False,True,extra primes: [79]
T_r*,transport,93,50,0.05,3 × 31,False,31,False,False,True,extra primes: [31]
T_r*,transport,8,46,0.046,2^3,True,2,False,False,False,
T_r*,transport,6,44,0.044,2 × 3,True,3,True,False,False,divides_60
T_r*,transport,72,40,0.04,2^3 × 3^2,True,3,False,False,False,
T_r*,transport,231,38,0.038,3 × 7 × 11,False,11,False,False,True,"extra primes: [7, 11]"
T_r*,transport,228,36,0.036,2^2 × 3 × 19,False,19,False,False,True,extra primes: [19]
T_r*,transport,342,36,0.036,2 × 3^2 × 19,False,19,False,False,True,extra primes: [19]
T_r*,transport,192,35,0.035,2^6 × 3,True,3,False,False,False,
T_r*,transport,84,34,0.034,2^2 × 3 × 7,False,7,False,False,True,extra primes: [7]
T_r*,transport,120,29,0.029,2^3 × 3 × 5,True,5,False,True,False,multiple_of_60
T_r*,transport,9,21,0.021,3^2,True,3,False,False,False,
T_r*,transport,4,20,0.02,2^2,True,2,True,False,False,divides_60
T_r*,transport,33,18,0.018,3 × 11,False,11,False,False,True,extra primes: [11]
T_r*,transport,48,16,0.016,2^4 × 3,True,3,False,False,False,
T_r*,transport,49,13,0.013,7^2,False,7,False,False,True,extra primes: [7]
T_r*,transport,24,13,0.013,2^3 × 3,True,3,False,False,False,
T_r*,transport,34,12,0.012,2 × 17,False,17,False,False,True,extra primes: [17]
T_r*,transport,45,9,0.009,3^2 × 5,True,5,False,False,False,
T_r*,transport,18,9,0.009,2 × 3^2,True,3,False,False,False,
T_r*,transport,5,6,0.006,5,True,5,True,False,False,divides_60
T_r*,transport,90,5,0.005,2 × 3^2 × 5,True,5,False,False,False,
T_r*,transport,60,5,0.005,2^2 × 3 × 5,True,5,True,True,False,divides_60; multiple_of_60
T_r*,transport,35,4,0.004,5 × 7,False,7,False,False,True,extra primes: [7]
T_r*,transport,15,4,0.004,3 × 5,True,5,True,False,False,divides_60
T_r*,transport,12,3,0.003,2^2 × 3,True,3,True,False,False,divides_60
T_r*,transport,16,3,0.003,2^4,True,2,False,False,False,
T_r*,transport,78,2,0.002,2 × 3 × 13,False,13,False,False,True,extra primes: [13]
T_r*,transport,21,1,0.001,3 × 7,False,7,False,False,True,extra primes: [7]
T_r*,transport,54,1,0.001,2 × 3^3,True,3,False,False,False,
