model,test_loss,test_accuracy,query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v3_reference,0.0076665510423481464,0.9977864623069763,0.9878048896789551,5699,10,2.0395375409862027,0.005657750065438449
geometry_native_sequence_model_r1,0.4952648878097534,0.7360677123069763,0.700860857963562,7427,16,2.0338166669243947,0.0029403340304270387
geometry_native_sequence_model_r2,0.5984818935394287,0.7425781488418579,0.7467718720436096,219,16,2.0527585410745814,0.0026778329629451036
geometry_native_sequence_model_r3,0.5962802767753601,0.7424479126930237,0.7503587007522583,219,16,1.9330596249783412,0.0022205000277608633
geometry_native_sequence_model_r4,0.5144183039665222,0.75,0.7862266898155212,219,16,1.947543166927062,0.0022563330130651593
tiny_transformer_baseline_r4,0.7198936343193054,0.6958333253860474,0.6707317233085632,69763,64,5.081200957996771,0.02314070798456669
