model,task,metric_name,metric_value,operator,usage_fraction,context_bucket,transport_usage_fraction,route_entropy,note
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=3_dist=13,0.0,1.7913,step=3; distance_from_query=13
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=4_dist=12,0.0,1.7913,step=4; distance_from_query=12
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=5_dist=11,0.0,1.7913,step=5; distance_from_query=11
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=6_dist=10,0.0,1.7913,step=6; distance_from_query=10
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=7_dist=9,0.0,1.7913,step=7; distance_from_query=9
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=8_dist=8,0.0,1.7913,step=8; distance_from_query=8
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=9_dist=7,0.0,1.7913,step=9; distance_from_query=7
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=10_dist=6,0.0,1.7913,step=10; distance_from_query=6
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=11_dist=5,0.0,1.7913,step=11; distance_from_query=5
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=12_dist=4,0.0,1.7913,step=12; distance_from_query=4
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=13_dist=3,0.0,1.7913,step=13; distance_from_query=3
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=14_dist=2,0.0,1.7913,step=14; distance_from_query=2
fixed_Tx,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=15_dist=1,0.0,1.7913,step=15; distance_from_query=1
learned_router,first_token_recall_D2,accuracy,0.267,T_b,0.122,D=2_all_steps,0.878,1.7714,cluster=non_transport
learned_router,first_token_recall_D2,accuracy,0.267,T_x,0.0,D=2_all_steps,0.878,1.7714,cluster=non_transport
learned_router,first_token_recall_D2,accuracy,0.267,T_y,0.0,D=2_all_steps,0.878,1.7714,cluster=non_transport
learned_router,first_token_recall_D2,accuracy,0.267,T_c,0.0,D=2_all_steps,0.878,1.7714,cluster=transport
learned_router,first_token_recall_D2,accuracy,0.267,T_z',0.878,D=2_all_steps,0.878,1.7714,cluster=transport
learned_router,first_token_recall_D2,accuracy,0.267,T_r*,0.0,D=2_all_steps,0.878,1.7714,cluster=transport
learned_router,first_token_recall_D2,transport_frac_at_step,0.882,aggregate_transport,0.882,step=0_dist=2,0.878,1.7714,step=0; distance_from_query=2
learned_router,first_token_recall_D2,transport_frac_at_step,0.874,aggregate_transport,0.874,step=1_dist=1,0.878,1.7714,step=1; distance_from_query=1
learned_router,first_token_recall_D4,accuracy,0.249,T_b,0.0,D=4_all_steps,1.0,1.7346,cluster=non_transport
learned_router,first_token_recall_D4,accuracy,0.249,T_x,0.0,D=4_all_steps,1.0,1.7346,cluster=non_transport
learned_router,first_token_recall_D4,accuracy,0.249,T_y,0.0,D=4_all_steps,1.0,1.7346,cluster=non_transport
learned_router,first_token_recall_D4,accuracy,0.249,T_c,0.4805,D=4_all_steps,1.0,1.7346,cluster=transport
learned_router,first_token_recall_D4,accuracy,0.249,T_z',0.0,D=4_all_steps,1.0,1.7346,cluster=transport
learned_router,first_token_recall_D4,accuracy,0.249,T_r*,0.5195,D=4_all_steps,1.0,1.7346,cluster=transport
learned_router,first_token_recall_D4,transport_frac_at_step,1.0,aggregate_transport,1.0,step=0_dist=4,1.0,1.7346,step=0; distance_from_query=4
learned_router,first_token_recall_D4,transport_frac_at_step,1.0,aggregate_transport,1.0,step=1_dist=3,1.0,1.7346,step=1; distance_from_query=3
learned_router,first_token_recall_D4,transport_frac_at_step,1.0,aggregate_transport,1.0,step=2_dist=2,1.0,1.7346,step=2; distance_from_query=2
learned_router,first_token_recall_D4,transport_frac_at_step,1.0,aggregate_transport,1.0,step=3_dist=1,1.0,1.7346,step=3; distance_from_query=1
learned_router,first_token_recall_D8,accuracy,0.26,T_b,0.0,D=8_all_steps,1.0,1.6675,cluster=non_transport
learned_router,first_token_recall_D8,accuracy,0.26,T_x,0.0,D=8_all_steps,1.0,1.6675,cluster=non_transport
learned_router,first_token_recall_D8,accuracy,0.26,T_y,0.0,D=8_all_steps,1.0,1.6675,cluster=non_transport
