case,variant,timestep,full_radius_mean,full_radius_std,subspace,subspace_radius_mean,subspace_radius_std,ratio_mean,ratio_std,direction_metric_mean,direction_metric_std,match_condition,success_condition,notes
A_stripped_baseline,original_s42,6,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=6;n_samples=2048;full_cos_mean=0.341351;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,6,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=6;n_samples=2048;full_cos_mean=0.341351;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,6,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=6;n_samples=2048;full_cos_mean=0.341351;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,6,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=6;n_samples=2048;full_cos_mean=0.341351;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,7,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=7;n_samples=2048;full_cos_mean=0.334723;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,7,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=7;n_samples=2048;full_cos_mean=0.334723;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,7,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=7;n_samples=2048;full_cos_mean=0.334723;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,7,2.44948983,0.0,block3_ang,1.73205018,6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=7;n_samples=2048;full_cos_mean=0.334723;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,8,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=8;n_samples=2048;full_cos_mean=0.336516;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,8,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=8;n_samples=2048;full_cos_mean=0.336516;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,8,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=8;n_samples=2048;full_cos_mean=0.336516;h3_cos_mean=1.000000
