operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_b,non-transport,coupled,19,2,0.002000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,21,1,0.001000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,27,1,0.001000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,unresolved,36,0.036000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_b,non-transport,twist,1,1000,1.000000,0.0310,bottleneck_fraction=0.0310,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,6,153,0.153000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,3,118,0.118000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,4,101,0.101000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,12,80,0.080000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,9,51,0.051000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,2,50,0.050000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,7,38,0.038000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,5,38,0.038000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,15,36,0.036000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,8,33,0.033000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,13,23,0.023000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,18,22,0.022000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,24,22,0.022000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,11,19,0.019000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,10,18,0.018000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,19,9,0.009000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,17,9,0.009000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,14,9,0.009000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,21,8,0.008000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,36,8,0.008000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,16,7,0.007000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,1,6,0.006000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,25,6,0.006000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,20,5,0.005000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,22,5,0.005000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,30,4,0.004000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,23,4,0.004000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,29,3,0.003000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,33,2,0.002000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,27,2,0.002000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,34,2,0.002000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,48,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,41,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
