trace_source,tuplet_name,offsets,parent_W,child_W,visible_H_first,trace_length,r_depth,prototype_mode,unique_route_keys,route_reuse_fraction,mean_route_class_size,pre_promotion_mean_unresolved_fraction,pre_promotion_max_unresolved_fraction,promotion_fraction,post_promotion_unique_route_keys,post_promotion_route_reuse_fraction,post_promotion_mean_unresolved_fraction,post_promotion_max_unresolved_fraction,post_promotion_resolution_fraction,max_unresolved_among_unpromoted,promoted_phi0_fraction
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,literal_rmin,385.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,base_gap,105.0,0.7272727272727273,3.6666666666666665,0.061224489795918394,0.4285714285714286,0.2727272727272727,120.0,0.6883116883116883,0.0,0.0,1.0,0.0,0.10476190476190476
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,base_gap_phi0,385.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,gap_only,40.0,0.8961038961038961,9.625,0.4439381696734639,0.6666666666666667,0.987012987012987,95.0,0.7532467532467533,0.0,0.0,1.0,0.0,0.02894736842105263
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,1,full_spin_baseline,95.0,0.7532467532467533,4.052631578947368,0.0,0.0,0.0,95.0,0.7532467532467533,0.0,0.0,1.0,0.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,literal_rmin,385.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,base_gap,125.0,0.6753246753246753,3.08,0.13428571428571434,0.5,0.35064935064935066,185.0,0.5194805194805194,0.01544401544401544,0.2857142857142857,0.9845559845559846,0.2857142857142857,0.06666666666666667
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,base_gap_phi0,385.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,gap_only,60.0,0.8441558441558441,6.416666666666667,0.2887445887445887,0.6666666666666667,0.935064935064935,190.0,0.5064935064935066,0.0,0.0,1.0,0.0,0.030555555555555555
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,1,full_spin_baseline,180.0,0.5324675324675325,2.138888888888889,0.0,0.0,0.0,180.0,0.5324675324675325,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,literal_rmin,5005.0,0.0,1.0,0.0,0.0,0.0,5005.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,base_gap,250.0,0.9500499500499501,20.02,0.14864357864357877,0.6507936507936508,0.6503496503496503,355.0,0.929070929070929,0.005304554600329247,0.2857142857142857,0.9946954453996708,0.2857142857142857,0.003379416282642089
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,base_gap_phi0,1235.0,0.7532467532467533,4.052631578947368,0.0823211875843454,0.4444444444444444,0.2787212787212787,1175.0,0.7652347652347653,0.0302600472813238,0.2222222222222222,0.9697399527186762,0.2222222222222222,0.0064516129032258064
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,gap_only,115.0,0.977022977022977,43.52173913043478,0.3426474897345888,0.8835978835978836,0.968031968031968,305.0,0.939060939060939,0.0029806259314456027,0.18181818181818177,0.9970193740685543,0.18181818181818177,0.0022703818369453044
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,2,full_spin_baseline,255.0,0.949050949050949,19.627450980392158,0.0,0.0,0.0,255.0,0.949050949050949,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,literal_rmin,5005.0,0.0,1.0,0.0,0.0,0.0,5005.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,base_gap,380.0,0.9240759240759241,13.171052631578947,0.10600541580861116,0.7777777777777778,0.7212787212787213,610.0,0.8781218781218781,0.003131567885666246,0.19999999999999996,0.9968684321143337,0.19999999999999996,0.0030470914127423824
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,base_gap_phi0,1070.0,0.7862137862137862,4.677570093457944,0.17964693665628234,0.6666666666666667,0.5104895104895105,1035.0,0.7932067932067932,0.023886205045625334,0.25,0.9761137949543747,0.25,0.0035225048923679062
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,gap_only,170.0,0.9660339660339661,29.441176470588236,0.32307207582483255,0.9153439153439153,0.8791208791208791,510.0,0.8981018981018981,0.04850944902848015,0.2941176470588235,0.9514905509715198,0.2941176470588235,0.0025
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,2,full_spin_baseline,400.0,0.9200799200799201,12.5125,0.0,0.0,0.0,400.0,0.9200799200799201,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,literal_rmin,5005.0,0.0,1.0,0.0,0.0,0.0,5005.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,base_gap,240.0,0.952047952047952,20.854166666666668,0.235155795106453,0.8412698412698413,0.8401598401598401,640.0,0.8721278721278721,0.0,0.0,1.0,0.0,0.002615933412604043
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,base_gap_phi0,1155.0,0.7692307692307692,4.333333333333333,0.19480519480519534,0.7777777777777778,0.7102897102897103,1150.0,0.7702297702297702,0.0,0.0,1.0,0.0,0.0030942334739803095
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,gap_only,110.0,0.978021978021978,45.5,0.3888383892007345,0.9206349206349207,0.988011988011988,610.0,0.8781218781218781,0.0,0.0,1.0,0.0,0.002224469160768453
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,2,full_spin_baseline,570.0,0.8861138861138861,8.780701754385966,0.0,0.0,0.0,570.0,0.8861138861138861,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,literal_rmin,5005.0,0.0,1.0,0.0,0.0,0.0,5005.0,0.0,0.0,0.0,1.0,0.0,0.0
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,base_gap,190.0,0.962037962037962,26.342105263157894,0.35145174411102426,0.8095238095238095,0.8741258741258742,655.0,0.8691308691308691,0.005898681471200554,0.2727272727272727,0.9941013185287995,0.2727272727272727,0.002514285714285714
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,base_gap_phi0,955.0,0.8091908091908092,5.2408376963350785,0.2760325770796977,0.6666666666666667,0.7422577422577422,1025.0,0.7952047952047951,0.00758807588075881,0.2222222222222222,0.9924119241192412,0.2222222222222222,0.0029609690444145358
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,gap_only,70.0,0.986013986013986,71.5,0.6064699652652085,0.9047619047619048,0.996003996003996,670.0,0.8661338661338661,0.0,0.0,1.0,0.0,0.0022066198595787363
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,2,full_spin_baseline,665.0,0.8671328671328671,7.526315789473684,0.0,0.0,0.0,665.0,0.8671328671328671,0.0,0.0,1.0,0.0,0.0
ALL,ALL,ALL,,,,22330,,literal_rmin,2233.0,0.0,1.0,0.0,0.0,0.0,2233.0,0.0,0.0,0.0,1.0,0.0,0.0
ALL,ALL,ALL,,,,22330,,base_gap,169.0,0.8151848151848151,10.29923245614035,0.12668687785676264,0.8412698412698413,0.45274725274725275,301.0,0.76003996003996,0.007475236437475645,0.2857142857142857,0.9925247635625244,0.2857142857142857,0.04210805363460837
ALL,ALL,ALL,,,,22330,,base_gap_phi0,672.5,0.31178821178821176,2.430437270207372,0.07328058961255209,0.7777777777777778,0.22417582417582418,669.5,0.31238761238761237,0.006173432820770795,0.25,0.9938265671792292,0.25,0.001602932031398856
ALL,ALL,ALL,,,,22330,,gap_only,75.5,0.9153846153846155,24.092765919076662,0.3899274722242755,0.9206349206349207,0.9532467532467532,280.0,0.775024975024975,0.006285371132356212,0.2941176470588235,0.9937146288676437,0.2941176470588235,0.018994801340809095
ALL,ALL,ALL,,,,22330,,full_spin_baseline,255.0,0.7908091908091908,7.28077872377021,0.0,0.0,0.0,255.0,0.7908091908091908,0.0,0.0,1.0,0.0,0.0
