model,test_loss,test_accuracy,query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v3_reference,0.0076665510423481464,0.9977864623069763,0.9878048896789551,5699,10,2.194812500034459,0.006045375019311905
geometry_native_sequence_model_r4,0.5144183039665222,0.75,0.7862266898155212,219,16,1.947543166927062,0.0022563330130651593
geometry_native_sequence_model_r5,0.475992888212204,0.7502604126930237,0.792682945728302,583,16,1.8593856670195237,0.003367417026311159
geometry_native_sequence_model_r6,0.6617227792739868,0.7381510138511658,0.730989933013916,735,16,1.9579622920136899,0.002857708022929728
geometry_native_sequence_model_r6_compat_filtered_reference,0.6512497489971186,0.7436197916666667,0.7517934002869441,735,16,1.9579622920136899,0.002857708022929728
geometry_native_sequence_model_r7,0.6684715747833252,0.7399739623069763,0.7338594198226929,735,16,1.8578330830205232,0.0045363339595496655
tiny_transformer_baseline_r7,0.7198936343193054,0.6958333253860474,0.6707317233085632,69763,64,5.369011334027164,0.0214060420403257
