model,test_loss,test_accuracy,transfer_query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v23,4.979188442230225,0.6475074291229248,0.7285482883453369,5699,10,2.206344333011657,0.0037547919200733304
tiny_transformer_baseline_v23,2.128999710083008,0.4521949291229248,0.4651915729045868,70531,64,5.428215209045447,0.03667341696564108
