model,test_loss,test_accuracy,query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds
geometry_native_sequence_model_v3_reference,0.0076665510423481464,0.9977864623069763,0.9878048896789551,5699,10,2.0411384170874953,0.0029949999880045652
geometry_native_sequence_model_r1,0.4952648878097534,0.7360677123069763,0.700860857963562,7427,16,2.0217119590379298,0.003146875067614019
geometry_native_sequence_model_r2,0.5984818935394287,0.7425781488418579,0.7467718720436096,219,16,2.004103666986339,0.0027198749594390392
tiny_transformer_baseline_r2,0.7198936343193054,0.6958333253860474,0.6707317233085632,69763,64,5.278043958009221,0.02279691700823605
