candidate,mean_membership_capture_fraction_of_spin,mean_split_partition_capture_fraction_of_spin,mean_combined_capture_fraction_of_spin,mean_split_label_ratio_to_spin
return_gap_seq_3,1.0,0.9475991018291119,0.973799550914556,2.9235293321401783
return_gap_seq_2,1.0,0.935100936297855,0.9675504681489274,1.7124951811424984
branch_identity_min,1.0,0.935100936297855,0.9675504681489274,1.7124951811424984
prev_next_gap_pair,1.0,0.6236414696296977,0.8118207348148487,1.539815778208287
next_return_gap,1.0,0.5005962640293673,0.7502981320146836,0.6121906310452204
transition_memory_3,0.06500386937006639,0.16873902653526457,0.11687144795266549,0.4059643848549572
