model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=8; dist_from_query=8
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=9; dist_from_query=7
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=10; dist_from_query=6
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=11; dist_from_query=5
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=12; dist_from_query=4
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=13; dist_from_query=3
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=14; dist_from_query=2
fixed_Tx,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,0.0,step=15; dist_from_query=1
non_transport,first_token_recall_D2,2,accuracy,0.262,T_b,1.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D2,2,accuracy,0.262,T_x,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D2,2,accuracy,0.262,T_y,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D2,2,accuracy,0.262,T_c,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D2,2,accuracy,0.262,T_z',0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D2,2,accuracy,0.262,T_r*,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D2,2,mean_attn_weight,0.4999,aggregate_attn,0.4999,0.0,1.0986,step=0; dist_from_query=2
non_transport,first_token_recall_D2,2,mean_attn_weight,0.5001,aggregate_attn,0.5001,0.0,1.0986,step=1; dist_from_query=1
non_transport,first_token_recall_D4,4,accuracy,0.251,T_b,1.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D4,4,accuracy,0.251,T_x,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D4,4,accuracy,0.251,T_y,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D4,4,accuracy,0.251,T_c,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D4,4,accuracy,0.251,T_z',0.0,0.0,1.0986,cluster=transport
