predictor,pearson_visible_threshold,spearman_visible_threshold
new_prime,0.6722174114244875,0.8125966644585016
parent_phase_length,0.45788514896027044,0.8125966644585016
new_prime_times_tuplet_size,0.7958800547387357,0.7970636785738106
parent_admissible_density,-0.5638332506006388,-0.7346753721413163
local_allowed_count,0.5842672529118288,0.7213299617065603
gap_max,0.5253184715227797,0.5951493353290387
gap_span,0.3596946444123322,0.5388689914244414
new_prime_times_forbidden_count,0.5553828146672865,0.4984281663711841
local_allowed_fraction,0.32269311010760626,0.438064893627269
tuplet_size,0.3660502603606231,0.2571939403387424
gap_entropy,-0.038150606133390524,-0.18994257106087795
gap_num_distinct,0.1964302736878118,0.16960308636006222
gap_max_over_prime,0.11845369267825666,0.12722597852810427
gap_span_over_prime,-0.11845369267825662,-0.12722597852810427
gap_min,0.054010522770576386,0.04301084926412601
local_forbidden_count,0.08708049071278541,-0.009361178696031551
