case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
C,success,0,3,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=3
C,failure,0,3,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=3;no_samples
C,success,0,4,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=4
C,failure,0,4,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=4;no_samples
C,success,0,5,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=5
C,failure,0,5,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=5;no_samples
A,matched,0,0,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=0
B,adj_plus1,1,0,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=0
B,opposite,2,0,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=0
B,adj_minus1,3,0,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=0
A,matched,0,1,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=1
B,adj_plus1,1,1,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=1
B,opposite,2,1,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=1
B,adj_minus1,3,1,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=1
A,matched,0,2,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=2
B,adj_plus1,1,2,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=2
B,opposite,2,2,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=2
B,adj_minus1,3,2,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=2
A,matched,0,3,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=3
B,adj_plus1,1,3,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=3
B,opposite,2,3,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=3
B,adj_minus1,3,3,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=3
A,matched,0,4,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=4
B,adj_plus1,1,4,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=4
B,opposite,2,4,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=4
B,adj_minus1,3,4,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=4
A,matched,0,5,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=5
B,adj_plus1,1,5,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=5
B,opposite,2,5,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=5
B,adj_minus1,3,5,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=5
A,matched,0,6,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=6
B,adj_plus1,1,6,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=6
B,opposite,2,6,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=6
B,adj_minus1,3,6,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=6
A,matched,0,7,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=7
B,adj_plus1,1,7,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=7
B,opposite,2,7,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=7
B,adj_minus1,3,7,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=7
A,matched,0,8,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=8
B,adj_plus1,1,8,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=8
B,opposite,2,8,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=8
B,adj_minus1,3,8,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=8
A,matched,0,9,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=9
B,adj_plus1,1,9,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=9
B,opposite,2,9,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=9
B,adj_minus1,3,9,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=9
A,matched,0,10,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=10
B,adj_plus1,1,10,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=10
B,opposite,2,10,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=10
B,adj_minus1,3,10,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=10
A,matched,0,11,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=11
B,adj_plus1,1,11,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=11
B,opposite,2,11,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=11
B,adj_minus1,3,11,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=11
A,matched,0,12,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=12
B,adj_plus1,1,12,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=12
B,opposite,2,12,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=12
B,adj_minus1,3,12,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=12
A,matched,0,13,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=13
B,adj_plus1,1,13,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=13
B,opposite,2,13,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=13
B,adj_minus1,3,13,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=13
A,matched,0,14,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=14
B,adj_plus1,1,14,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=14
B,opposite,2,14,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=14
B,adj_minus1,3,14,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=14
A,matched,0,15,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=15
B,adj_plus1,1,15,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=15
B,opposite,2,15,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=15
B,adj_minus1,3,15,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=15
A,matched,0,16,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=16
B,adj_plus1,1,16,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=16
B,opposite,2,16,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=16
B,adj_minus1,3,16,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=16
A,matched,0,17,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=17
B,adj_plus1,1,17,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=17
B,opposite,2,17,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=17
B,adj_minus1,3,17,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=17
A,matched,0,18,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=18
B,adj_plus1,1,18,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=18
B,opposite,2,18,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=18
B,adj_minus1,3,18,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=18
A,matched,0,19,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=19
B,adj_plus1,1,19,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=19
B,opposite,2,19,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=19
B,adj_minus1,3,19,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=19
A,matched,0,20,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=20;t=20
B,adj_plus1,1,20,20,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=20;t=20
B,opposite,2,20,20,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=20;t=20
B,adj_minus1,3,20,20,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=20;t=20
C,success,0,0,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=0
C,failure,0,0,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=0;no_samples
C,success,0,1,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=1
C,failure,0,1,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=1;no_samples
C,success,0,2,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=2
C,failure,0,2,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=2;no_samples
C,success,0,3,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=3
C,failure,0,3,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=3;no_samples
C,success,0,4,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=4
C,failure,0,4,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=4;no_samples
C,success,0,5,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=5
C,failure,0,5,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=5;no_samples
C,success,0,6,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=6
C,failure,0,6,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=6;no_samples
C,success,0,7,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=7
C,failure,0,7,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=7;no_samples
C,success,0,8,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=8
C,failure,0,8,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=8;no_samples
C,success,0,9,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=9
C,failure,0,9,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=9;no_samples
C,success,0,10,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=10
C,failure,0,10,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=10;no_samples
C,success,0,11,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=11
C,failure,0,11,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=11;no_samples
C,success,0,12,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=12
C,failure,0,12,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=12;no_samples
C,success,0,13,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=13
C,failure,0,13,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=13;no_samples
C,success,0,14,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=14
C,failure,0,14,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=14;no_samples
C,success,0,15,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=15
C,failure,0,15,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=15;no_samples
C,success,0,16,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=16
C,failure,0,16,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=16;no_samples
C,success,0,17,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=17
C,failure,0,17,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=17;no_samples
C,success,0,18,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=18
C,failure,0,18,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=18;no_samples
C,success,0,19,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=19
C,failure,0,19,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=19;no_samples
C,success,0,20,20,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=20;t=20
C,failure,0,20,20,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=20;t=20;no_samples
A,matched,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=0.0;D=1;t=0
B,adj_plus1,1,0,1,0.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=0.0;D=1;t=0
B,opposite,2,0,1,0.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=0.0;D=1;t=0
B,adj_minus1,3,0,1,0.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=0.0;D=1;t=0
A,matched,0,1,1,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=1;t=1
B,adj_plus1,1,1,1,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=1;t=1
B,opposite,2,1,1,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=1;t=1
B,adj_minus1,3,1,1,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=1;t=1
C,success,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=0.0;D=1;t=0
C,failure,0,0,1,0.0,nan,nan,nan,nan,nan,0,C;failure;eps=0.0;D=1;t=0;no_samples
C,success,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=1;t=1
C,failure,0,1,1,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=1;t=1
A,matched,0,0,5,0.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=0.0;D=5;t=0
B,adj_plus1,1,0,5,0.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=0.0;D=5;t=0
B,opposite,2,0,5,0.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=0.0;D=5;t=0
B,adj_minus1,3,0,5,0.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=0.0;D=5;t=0
A,matched,0,1,5,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=5;t=1
B,adj_plus1,1,1,5,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=5;t=1
B,opposite,2,1,5,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=5;t=1
B,adj_minus1,3,1,5,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=5;t=1
A,matched,0,2,5,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=5;t=2
B,adj_plus1,1,2,5,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=5;t=2
B,opposite,2,2,5,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=5;t=2
B,adj_minus1,3,2,5,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=5;t=2
A,matched,0,3,5,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=5;t=3
B,adj_plus1,1,3,5,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=5;t=3
B,opposite,2,3,5,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=5;t=3
B,adj_minus1,3,3,5,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=5;t=3
A,matched,0,4,5,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=5;t=4
B,adj_plus1,1,4,5,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=5;t=4
B,opposite,2,4,5,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=5;t=4
B,adj_minus1,3,4,5,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=5;t=4
A,matched,0,5,5,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=5;t=5
B,adj_plus1,1,5,5,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=5;t=5
B,opposite,2,5,5,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=5;t=5
B,adj_minus1,3,5,5,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=5;t=5
C,success,0,0,5,0.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=0.0;D=5;t=0
C,failure,0,0,5,0.0,nan,nan,nan,nan,nan,0,C;failure;eps=0.0;D=5;t=0;no_samples
C,success,0,1,5,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=5;t=1
C,failure,0,1,5,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=5;t=1
C,success,0,2,5,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=5;t=2
C,failure,0,2,5,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=5;t=2
C,success,0,3,5,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=5;t=3
C,failure,0,3,5,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=5;t=3
C,success,0,4,5,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=5;t=4
C,failure,0,4,5,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=5;t=4
C,success,0,5,5,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=5;t=5
C,failure,0,5,5,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=5;t=5
A,matched,0,0,20,0.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=0.0;D=20;t=0
B,adj_plus1,1,0,20,0.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=0.0;D=20;t=0
B,opposite,2,0,20,0.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=0.0;D=20;t=0
B,adj_minus1,3,0,20,0.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=0.0;D=20;t=0
A,matched,0,1,20,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=20;t=1
B,adj_plus1,1,1,20,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=20;t=1
B,opposite,2,1,20,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=20;t=1
B,adj_minus1,3,1,20,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=20;t=1
A,matched,0,2,20,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=20;t=2
B,adj_plus1,1,2,20,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=20;t=2
B,opposite,2,2,20,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=20;t=2
B,adj_minus1,3,2,20,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=20;t=2
A,matched,0,3,20,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=20;t=3
B,adj_plus1,1,3,20,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=20;t=3
B,opposite,2,3,20,0.0,-0.76953125,-0.23046875,0.2304687798023224,1.5006213160972948e-08,0.23046875,1024,2i_frame;dist=2;eps=0.0;D=20;t=3
B,adj_minus1,3,3,20,0.0,0.23046875,-0.76953125,0.76953125,0.0,0.76953125,1024,2i_frame;dist=3;eps=0.0;D=20;t=3
A,matched,0,4,20,0.0,0.76953125,0.23046875,0.23046875,0.0,0.23046875,1024,2i_frame;dist=0;eps=0.0;D=20;t=4
B,adj_plus1,1,4,20,0.0,-0.23046875,0.76953125,0.76953125,8.742278367890322e-08,0.76953125,1024,2i_frame;dist=1;eps=0.0;D=20;t=4
