case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
C,failure,0,4,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=4
C,success,0,5,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=5
C,failure,0,5,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=5
C,success,0,6,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=6
C,failure,0,6,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=6
C,success,0,7,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=7
C,failure,0,7,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=7
C,success,0,8,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=8
C,failure,0,8,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=8
C,success,0,9,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=9
C,failure,0,9,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=9
C,success,0,10,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=10
C,failure,0,10,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=10
C,success,0,11,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=11
C,failure,0,11,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=11
C,success,0,12,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=12
C,failure,0,12,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=12
C,success,0,13,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=13
C,failure,0,13,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=13
