model,test_loss,test_accuracy,query_accuracy,param_count,effective_state_size,train_seconds,eval_seconds,usage_I,usage_T_b,usage_T_x,usage_T_c,usage_T_y,usage_T_z,original_class_fraction,lifted_class_fraction,illegal_transition_fraction,outside_support_fraction
geometry_native_sequence_model_v3_reference,0.0076665510423481464,0.9977864623069763,0.9878048896789551,5699,10,1.698757000034675,0.0024741659872233868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometry_native_sequence_model_r5,0.475992888212204,0.7502604126930237,0.792682945728302,583,16,1.8593856670195237,0.003367417026311159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometry_native_operator_model_v5_fixed_policy,4.326342896082247,0.6868489583333334,0.6979913916786227,0,9,0.0,0.3025513750035316,0.196484375,0.18658854166666666,0.185546875,0.16770833333333332,0.17213541666666668,0.09153645833333333,0.456640625,0.543359375,0.0,0.0
geometry_native_operator_model_v6,1.9000424816776655,0.68125,0.6951219512195121,276,9,5.279844957985915,0.4281020829221234,0.23216145833333332,0.0,0.5578125,0.0018229166666666667,0.00026041666666666666,0.20794270833333334,0.45390625,0.54609375,0.0,0.0
tiny_transformer_baseline_v6_reference,0.7198936343193054,0.6958333253860474,0.6707317233085632,69763,64,5.040035083075054,0.021891250042244792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
