case,timestep,training_step,full_radius,subspace_radius,ratio,direction_metric,success_flag,match_flag
B_untrained_mismatched,19,-1,1.34370589,0.38837826,0.28554213,-0.04461354,0.21875,0
B_untrained_mismatched,20,-1,1.34485495,0.39025542,0.28801906,0.05757006,0.289062,0
D_traj_step0,0,0,2.44948983,1.0,0.40824831,1.0,1.0,1
D_traj_step0,1,0,1.27968907,0.33812284,0.265522,-0.09683449,0.208984,1
D_traj_step0,2,0,1.29037249,0.33760822,0.26082852,0.02568298,0.246094,1
D_traj_step0,3,0,1.2738024,0.32458216,0.2556715,-0.02425819,0.240234,1
D_traj_step0,4,0,1.28346968,0.33710697,0.26079148,0.05817177,0.294922,1
D_traj_step0,5,0,1.27839255,0.32592121,0.25444978,-0.01755814,0.248047,1
D_traj_step0,6,0,1.2836616,0.35189125,0.27231675,0.02855835,0.263672,1
D_traj_step0,7,0,1.27164125,0.32938048,0.25867736,-0.05530486,0.230469,1
D_traj_step0,8,0,1.28333759,0.34920797,0.2707867,-0.01647912,0.242188,1
D_traj_step0,9,0,1.26627851,0.33897555,0.26574054,-0.04603285,0.222656,1
D_traj_step0,10,0,1.28828788,0.35952532,0.27776161,0.02582737,0.273438,1
D_traj_step0,11,0,1.27141666,0.33604813,0.26215944,0.0126122,0.261719,1
D_traj_step0,12,0,1.27800417,0.34041965,0.26650167,-0.05835735,0.210938,1
D_traj_step0,13,0,1.27178562,0.3367739,0.26415622,0.02689674,0.279297,1
D_traj_step0,14,0,1.27148533,0.348214,0.27245232,-0.03919119,0.25,1
D_traj_step0,15,0,1.28665531,0.34746557,0.2693302,0.04438162,0.253906,1
D_traj_step0,16,0,1.28345251,0.33445597,0.26024464,-0.01882135,0.216797,1
D_traj_step0,17,0,1.27652228,0.3404648,0.26545987,0.01264253,0.267578,1
D_traj_step0,18,0,1.27754974,0.34841257,0.27169496,-0.0248643,0.222656,1
D_traj_step0,19,0,1.28551507,0.34752622,0.26938283,-0.0023191,0.257812,1
D_traj_step0,20,0,1.28421235,0.36278838,0.28200051,-0.00228798,0.232422,1
D_traj_step100,0,100,2.44948983,1.0,0.40824831,1.0,1.0,1
D_traj_step100,1,100,1.28702891,0.34079352,0.26594436,-0.07841939,0.216797,1
D_traj_step100,2,100,1.30018997,0.35779521,0.27503294,0.08042224,0.275391,1
D_traj_step100,3,100,1.28915977,0.33109707,0.256648,-0.01740794,0.25,1
D_traj_step100,4,100,1.27816415,0.34471098,0.26920712,0.06061903,0.275391,1
D_traj_step100,5,100,1.29830003,0.34807244,0.26733714,0.00761707,0.259766,1
D_traj_step100,6,100,1.29285479,0.34530273,0.26539987,-0.04132833,0.216797,1
D_traj_step100,7,100,1.27784204,0.34047419,0.26549202,-0.01572545,0.240234,1
D_traj_step100,8,100,1.2909081,0.36398685,0.2805149,0.07887025,0.294922,1
D_traj_step100,9,100,1.29027081,0.35301608,0.27198726,-0.00701629,0.224609,1
D_traj_step100,10,100,1.29487658,0.34923208,0.27079508,0.02551553,0.242188,1
D_traj_step100,11,100,1.29228449,0.3426528,0.26406741,-0.02205251,0.230469,1
D_traj_step100,12,100,1.28634453,0.34511387,0.26753142,0.02383247,0.248047,1
D_traj_step100,13,100,1.27888834,0.33456638,0.26109219,-0.00730253,0.265625,1
D_traj_step100,14,100,1.27882731,0.33723187,0.2627694,-0.04069054,0.203125,1
D_traj_step100,15,100,1.28528738,0.35246807,0.27334434,-0.01168348,0.234375,1
D_traj_step100,16,100,1.28870118,0.31960487,0.24637011,-0.01900122,0.236328,1
D_traj_step100,17,100,1.28475881,0.33547479,0.26010332,0.0364486,0.265625,1
D_traj_step100,18,100,1.29291081,0.33312979,0.25709653,-0.00542579,0.253906,1
D_traj_step100,19,100,1.28550935,0.31684494,0.24539693,-0.00134864,0.253906,1
D_traj_step100,20,100,1.2901144,0.3418299,0.26325628,0.03001213,0.246094,1
D_traj_step250,0,250,2.44948983,1.0,0.40824831,1.0,1.0,1
D_traj_step250,1,250,1.34903824,0.36237073,0.26844829,-0.13894735,0.173828,1
D_traj_step250,2,250,1.35347247,0.38591996,0.28159875,0.08327927,0.304688,1
D_traj_step250,3,250,1.35666382,0.37433168,0.27415091,0.02488034,0.259766,1
D_traj_step250,4,250,1.36607587,0.37512648,0.27262077,-0.00133232,0.257812,1
D_traj_step250,5,250,1.34243703,0.37155011,0.27466711,-0.00533896,0.234375,1
D_traj_step250,6,250,1.35935473,0.39165553,0.28591573,0.02319871,0.261719,1
