tuplet_name,offsets,parent_W,child_W,visible_H_first,candidate,split_position_count,target_predictive_state_count,b_only_exact_purity_fraction,b_only_unresolved_position_fraction,candidate_exact_purity_fraction,candidate_unresolved_position_fraction,purity_gain_over_b_only,candidate_weighted_target_multiplicity,candidate_label_count,candidate_to_target_label_ratio
quadruplet,"[0,2,6,8]",2310,30030,21,recent_suffix_3,317,88,0.19873817034700314,0.8012618296529969,0.20504731861198733,0.7949526813880127,0.006309148264984188,2.413249211356467,44.0,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,recent_suffix_5,317,88,0.19873817034700314,0.8012618296529969,0.20504731861198733,0.7949526813880127,0.006309148264984188,2.362776025236593,50.0,0.5681818181818182
quadruplet,"[0,2,6,8]",2310,30030,21,local_transition_3,317,88,0.19873817034700314,0.8012618296529969,0.2271293375394322,0.7728706624605678,0.028391167192429068,2.32807570977918,44.0,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,next_return_gap,317,88,0.19873817034700314,0.8012618296529969,0.4479495268138801,0.5520504731861199,0.24921135646687698,1.5520504731861198,64.0,0.7272727272727273
quadruplet,"[0,2,6,8]",2310,30030,21,prev_next_gap_pair,317,88,0.19873817034700314,0.8012618296529969,0.5993690851735016,0.40063091482649843,0.4006309148264985,1.4006309148264984,134.0,1.5227272727272727
double_twins_p17,"[0,2,34,36]",2310,30030,21,recent_suffix_3,316,87,0.1993670886075949,0.8006329113924051,0.21518987341772156,0.7848101265822784,0.015822784810126667,2.3797468354430378,44.0,0.5057471264367817
double_twins_p17,"[0,2,34,36]",2310,30030,21,recent_suffix_5,316,87,0.1993670886075949,0.8006329113924051,0.21518987341772156,0.7848101265822784,0.015822784810126667,2.3037974683544302,50.0,0.5747126436781609
double_twins_p17,"[0,2,34,36]",2310,30030,21,local_transition_3,316,87,0.1993670886075949,0.8006329113924051,0.23734177215189878,0.7626582278481012,0.03797468354430389,2.3069620253164556,44.0,0.5057471264367817
double_twins_p17,"[0,2,34,36]",2310,30030,21,next_return_gap,316,87,0.1993670886075949,0.8006329113924051,0.44620253164556967,0.5537974683544303,0.24683544303797478,1.5537974683544304,65.0,0.7471264367816092
double_twins_p17,"[0,2,34,36]",2310,30030,21,prev_next_gap_pair,316,87,0.1993670886075949,0.8006329113924051,0.6234177215189873,0.37658227848101267,0.42405063291139244,1.3765822784810127,136.0,1.5632183908045978
