model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
gated_inject_router_b800,first_token_recall_D2,2,accuracy,0.312,all,,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,transport_frac,0.504,all,,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,route_entropy,1.6632,all,,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.0075,T_b,0.0075,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.357,T_x,0.357,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.1315,T_y,0.1315,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.0005,T_c,0.0005,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.0525,T_z',0.0525,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,op_usage,0.451,T_r*,0.451,0.504,1.6632,budget=800
gated_inject_router_b800,first_token_recall_D2,2,mean_attn_weight,0.4998,all,,0.504,1.6632,"step=0,budget=800"
gated_inject_router_b800,first_token_recall_D2,2,mean_attn_weight,0.5002,all,,0.504,1.6632,"step=1,budget=800"
gated_inject_router_b800,first_token_recall_D4,4,accuracy,0.265,all,,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,transport_frac,0.449,all,,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,route_entropy,1.7408,all,,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.4243,T_b,0.4243,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.0008,T_x,0.0008,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.126,T_y,0.126,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.305,T_c,0.305,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.0375,T_z',0.0375,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,op_usage,0.1065,T_r*,0.1065,0.449,1.7408,budget=800
gated_inject_router_b800,first_token_recall_D4,4,mean_attn_weight,0.2501,all,,0.449,1.7408,"step=0,budget=800"
gated_inject_router_b800,first_token_recall_D4,4,mean_attn_weight,0.25,all,,0.449,1.7408,"step=1,budget=800"
gated_inject_router_b800,first_token_recall_D4,4,mean_attn_weight,0.25,all,,0.449,1.7408,"step=2,budget=800"
gated_inject_router_b800,first_token_recall_D4,4,mean_attn_weight,0.25,all,,0.449,1.7408,"step=3,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,accuracy,0.21,all,,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,transport_frac,0.0597,all,,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,route_entropy,1.6905,all,,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.1299,T_b,0.1299,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.6983,T_x,0.6983,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.1121,T_y,0.1121,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.0107,T_c,0.0107,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.0019,T_z',0.0019,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,op_usage,0.0471,T_r*,0.0471,0.0597,1.6905,budget=800
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1251,all,,0.0597,1.6905,"step=0,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.125,all,,0.0597,1.6905,"step=1,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1248,all,,0.0597,1.6905,"step=2,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1249,all,,0.0597,1.6905,"step=3,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1249,all,,0.0597,1.6905,"step=4,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.125,all,,0.0597,1.6905,"step=5,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1251,all,,0.0597,1.6905,"step=6,budget=800"
gated_inject_router_b800,first_token_recall_D8,8,mean_attn_weight,0.1251,all,,0.0597,1.6905,"step=7,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,accuracy,0.227,all,,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,transport_frac,0.8549,all,,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,route_entropy,1.7287,all,,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.0907,T_b,0.0907,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.0166,T_x,0.0166,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.0379,T_y,0.0379,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.0707,T_c,0.0707,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.1126,T_z',0.1126,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,op_usage,0.6716,T_r*,0.6716,0.8549,1.7287,budget=800
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=0,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=1,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=2,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=3,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=4,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=5,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=6,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=7,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=8,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=9,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=10,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=11,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=12,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=13,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=14,budget=800"
gated_inject_router_b800,first_token_recall_D16,16,mean_attn_weight,0.0625,all,,0.8549,1.7287,"step=15,budget=800"
gated_inject_router_b5000,first_token_recall_D2,2,accuracy,0.544,all,,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,transport_frac,0.8925,all,,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,route_entropy,1.4658,all,,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.107,T_b,0.107,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.0,T_x,0.0,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.0005,T_y,0.0005,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.107,T_c,0.107,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.3125,T_z',0.3125,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,op_usage,0.473,T_r*,0.473,0.8925,1.4658,budget=5000
gated_inject_router_b5000,first_token_recall_D2,2,mean_attn_weight,0.4995,all,,0.8925,1.4658,"step=0,budget=5000"
gated_inject_router_b5000,first_token_recall_D2,2,mean_attn_weight,0.5005,all,,0.8925,1.4658,"step=1,budget=5000"
gated_inject_router_b5000,first_token_recall_D4,4,accuracy,0.312,all,,0.4382,1.7116,budget=5000
gated_inject_router_b5000,first_token_recall_D4,4,transport_frac,0.4382,all,,0.4382,1.7116,budget=5000
gated_inject_router_b5000,first_token_recall_D4,4,route_entropy,1.7116,all,,0.4382,1.7116,budget=5000
