tuplet_name,offsets,parent_W,child_W,visible_H_first,candidate,membership_purity_fraction,membership_gain_over_b_only,membership_capture_fraction_of_spin,split_partition_purity_fraction,split_partition_gain_over_b_only,split_partition_capture_fraction_of_spin,candidate_split_label_ratio_to_spin
quadruplet,"[0,2,6,8]",2310,30030,21,prev_next_gap_pair,1.0,0.17662337662337657,1.0,0.8517350157728707,0.28391167192429023,0.6569343065693432,1.5227272727272727
quadruplet,"[0,2,6,8]",2310,30030,21,next_return_gap,1.0,0.17662337662337657,1.0,0.7949526813880127,0.2271293375394322,0.5255474452554746,0.7272727272727273
quadruplet,"[0,2,6,8]",2310,30030,21,return_gap_seq_2,1.0,0.17662337662337657,1.0,1.0,0.43217665615141954,1.0,1.5227272727272727
quadruplet,"[0,2,6,8]",2310,30030,21,return_gap_seq_3,1.0,0.17662337662337657,1.0,1.0,0.43217665615141954,1.0,2.102272727272727
quadruplet,"[0,2,6,8]",2310,30030,21,transition_memory_3,0.8233766233766234,0.0,0.0,0.6151419558359621,0.04731861198738163,0.10948905109489035,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,branch_identity_min,1.0,0.17662337662337657,1.0,1.0,0.43217665615141954,1.0,1.5227272727272727
double_twins_p17,"[0,2,34,36]",2310,30030,21,prev_next_gap_pair,1.0,0.17922077922077917,1.0,0.8955696202531646,0.32594936708860756,0.7573529411764706,1.5632183908045978
double_twins_p17,"[0,2,34,36]",2310,30030,21,next_return_gap,1.0,0.17922077922077917,1.0,0.7943037974683544,0.22468354430379744,0.5220588235294118,0.7471264367816092
double_twins_p17,"[0,2,34,36]",2310,30030,21,return_gap_seq_2,1.0,0.17922077922077917,1.0,1.0,0.430379746835443,1.0,1.793103448275862
double_twins_p17,"[0,2,34,36]",2310,30030,21,return_gap_seq_3,1.0,0.17922077922077917,1.0,1.0,0.430379746835443,1.0,2.160919540229885
double_twins_p17,"[0,2,34,36]",2310,30030,21,transition_memory_3,0.8207792207792208,0.0,0.0,0.6234177215189873,0.05379746835443033,0.1249999999999999,0.5057471264367817
double_twins_p17,"[0,2,34,36]",2310,30030,21,branch_identity_min,1.0,0.17922077922077917,1.0,1.0,0.430379746835443,1.0,1.793103448275862
quad_alt_0618,"[0,2,6,18]",2310,30030,6,prev_next_gap_pair,1.0,0.1350649350649351,1.0,1.0,0.06451612903225812,1.0,2.111111111111111
quad_alt_0618,"[0,2,6,18]",2310,30030,6,next_return_gap,1.0,0.1350649350649351,1.0,1.0,0.06451612903225812,1.0,1.0555555555555556
quad_alt_0618,"[0,2,6,18]",2310,30030,6,return_gap_seq_2,1.0,0.1350649350649351,1.0,1.0,0.06451612903225812,1.0,2.5
quad_alt_0618,"[0,2,6,18]",2310,30030,6,return_gap_seq_3,1.0,0.1350649350649351,1.0,1.0,0.06451612903225812,1.0,4.0
quad_alt_0618,"[0,2,6,18]",2310,30030,6,transition_memory_3,0.9116883116883117,0.04675324675324677,0.34615384615384615,1.0,0.06451612903225812,1.0,1.1111111111111112
quad_alt_0618,"[0,2,6,18]",2310,30030,6,branch_identity_min,1.0,0.1350649350649351,1.0,1.0,0.06451612903225812,1.0,2.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,prev_next_gap_pair,1.0,0.18441558441558437,1.0,0.8481481481481481,0.1962962962962962,0.5638297872340423,1.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,next_return_gap,1.0,0.18441558441558437,1.0,0.8333333333333334,0.18148148148148147,0.5212765957446809,0.8064516129032258
quad_alt_0826,"[0,2,8,26]",2310,30030,16,return_gap_seq_2,1.0,0.18441558441558437,1.0,1.0,0.3481481481481481,1.0,1.6612903225806452
quad_alt_0826,"[0,2,8,26]",2310,30030,16,return_gap_seq_3,1.0,0.18441558441558437,1.0,1.0,0.3481481481481481,1.0,2.806451612903226
quad_alt_0826,"[0,2,8,26]",2310,30030,16,transition_memory_3,0.8363636363636363,0.020779220779220675,0.11267605633802763,0.7,0.04814814814814805,0.1382978723404253,0.5967741935483871
quad_alt_0826,"[0,2,8,26]",2310,30030,16,branch_identity_min,1.0,0.18441558441558437,1.0,1.0,0.3481481481481481,1.0,1.6612903225806452
