case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
E_phase_evolution,32,2,1,1,3.162277,1.000000,0.316228,0.207547,-0.083019,step_cos,0.358491,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,2,1,1,3.162277,1.000000,0.316228,0.207547,-0.083019,h1_cos,-0.020348,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,2,1,1,3.162277,1.000000,0.316228,0.207547,-0.083019,h3_h1_ratio,10.199721,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,3,1,1,3.162277,1.000000,0.316228,0.079245,0.022642,step_cos,0.335849,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,3,1,1,3.162277,1.000000,0.316228,0.079245,0.022642,h1_cos,-0.003033,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,3,1,1,3.162277,1.000000,0.316228,0.079245,0.022642,h3_h1_ratio,26.124440,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,4,1,1,3.162277,1.000000,0.316228,0.086792,-0.015094,step_cos,0.320755,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,4,1,1,3.162277,1.000000,0.316228,0.086792,-0.015094,h1_cos,0.081268,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,4,1,1,3.162277,1.000000,0.316228,0.086792,-0.015094,h3_h1_ratio,1.067984,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,5,1,1,3.162277,1.000000,0.316228,0.132075,-0.022642,step_cos,0.418868,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,5,1,1,3.162277,1.000000,0.316228,0.132075,-0.022642,h1_cos,0.011420,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,5,1,1,3.162277,1.000000,0.316228,0.132075,-0.022642,h3_h1_ratio,11.565355,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,6,1,1,3.162277,1.000000,0.316228,0.116981,0.030189,step_cos,0.426415,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,6,1,1,3.162277,1.000000,0.316228,0.116981,0.030189,h1_cos,0.030830,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,6,1,1,3.162277,1.000000,0.316228,0.116981,0.030189,h3_h1_ratio,3.794429,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,7,1,1,3.162277,1.000000,0.316228,0.162264,0.030189,step_cos,0.418868,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,7,1,1,3.162277,1.000000,0.316228,0.162264,0.030189,h1_cos,-0.015564,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,7,1,1,3.162277,1.000000,0.316228,0.162264,0.030189,h3_h1_ratio,10.425864,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,8,1,1,3.162277,1.000000,0.316228,0.083019,0.011321,step_cos,0.460377,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,8,1,1,3.162277,1.000000,0.316228,0.083019,0.011321,h1_cos,0.060242,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,8,1,1,3.162277,1.000000,0.316228,0.083019,0.011321,h3_h1_ratio,1.378091,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,9,1,1,3.162277,1.000000,0.316228,0.052830,0.086792,step_cos,0.486793,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,9,1,1,3.162277,1.000000,0.316228,0.052830,0.086792,h1_cos,-0.043495,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,9,1,1,3.162277,1.000000,0.316228,0.052830,0.086792,h3_h1_ratio,1.214616,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,10,1,1,3.162277,1.000000,0.316228,0.132075,0.060377,step_cos,0.467925,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,10,1,1,3.162277,1.000000,0.316228,0.132075,0.060377,h1_cos,0.026415,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,10,1,1,3.162277,1.000000,0.316228,0.132075,0.060377,h3_h1_ratio,5.000000,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,11,1,1,3.162277,1.000000,0.316228,0.132075,-0.015094,step_cos,0.509434,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,11,1,1,3.162277,1.000000,0.316228,0.132075,-0.015094,h1_cos,-0.050438,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,11,1,1,3.162277,1.000000,0.316228,0.132075,-0.015094,h3_h1_ratio,2.618580,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,12,1,1,3.162277,1.000000,0.316228,0.233962,0.018868,step_cos,0.445283,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,12,1,1,3.162277,1.000000,0.316228,0.233962,0.018868,h1_cos,-0.010815,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,12,1,1,3.162277,1.000000,0.316228,0.233962,0.018868,h3_h1_ratio,21.632764,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,13,1,1,3.162277,1.000000,0.316228,0.230189,-0.090566,step_cos,0.483019,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,13,1,1,3.162277,1.000000,0.316228,0.230189,-0.090566,h1_cos,-0.019238,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,13,1,1,3.162277,1.000000,0.316228,0.230189,-0.090566,h3_h1_ratio,11.965294,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,14,1,1,3.162277,1.000000,0.316228,0.200000,0.000000,step_cos,0.509434,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,14,1,1,3.162277,1.000000,0.316228,0.200000,0.000000,h1_cos,-0.065433,265,eps=0.0; D=32; success; phase_tracking
