tuplet_name,offsets,parent_W,child_W,new_prime,visible_H_first,pre_threshold_H,parent_class_b,parent_class_spin,parent_class_frequency,parent_class_mass_fraction,child_future_classes_produced,extra_child_classes_produced,visible_after_additional_horizon_step
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000000001000000000000000000010000000001000,68,0.0007992007992007992,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000000000000000000,24,0.0002820708703061644,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000000000000001000,44,0.0005171299288946348,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000000000100000000,31,0.00036434154081212903,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000010000000000000,28,0.00032908268202385847,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000010000000001000,84,0.0009872480460715754,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,00000010000100000000000000000000000010000100000000,32,0.0003760944937415526,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000000000000000000,17,0.0001998001998001998,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000000000000001000,16,0.0001880472468707763,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000000000100000000,45,0.0005288828818240583,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000000000100001000,20,0.00023505905858847037,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000010000000000000,31,0.00036434154081212903,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000010000000001000,11,0.0001292824822236587,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000000000000000000000000010000100000000,30,0.00035258858788270555,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000000000000000000,34,0.0003996003996003996,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000000000000001000,52,0.0006111535523300229,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000000000100000000,45,0.0005288828818240583,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000000000100001000,24,0.0002820708703061644,9,8,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000010000000000000,11,0.0001292824822236587,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000010000000001000,12,0.0001410354351530822,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000000001000000000000000000010000100000000,14,0.00016454134101192923,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000000000000000000,16,0.0001880472468707763,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000000000000001000,5,5.876476464711759e-05,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000000000100000000,99,0.0011635423400129282,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000000000100001000,25,0.00029382382323558796,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000010000000000000,30,0.00035258858788270555,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100000000000000000000000010000100000000,74,0.0008697185167773403,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000000000000000000,25,0.00029382382323558796,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000000000000001000,18,0.0002115531527296233,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000000000100000000,56,0.0006581653640477169,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000000000100001000,24,0.0002820708703061644,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000010000000000000,14,0.00016454134101192923,7,6,1
