family,instances,mean_max_mono_clique_present,mean_max_mono_independent_present,mean_delay_score,mean_force_index,mean_red_density,mean_spectral_radius,mean_spectral_gap,mean_adjacency_energy,mean_signature_phi_distance
fibonacci_mirrored_growth,176,4.892045454545454,4.892045454545454,3.5765151515151516,0.29070683893127075,0.5245036446629635,8.949573111746643,5.849639578265812,39.76148380656359,0.011196563079827254
fibonacci_block_growth,176,4.982954545454546,4.982954545454546,3.5125,0.29714899998990907,0.5285467022293793,8.98693323847484,5.72878835836992,39.2771439688161,0.011196563079827254
fibonacci_phi_partition,176,5.119318181818182,5.119318181818182,3.421590909090909,0.3079636115147479,0.4998152143845618,8.655691187187157,5.118386318680437,39.839489364688355,0.09555917016970712
random_baseline,176,5.318181818181818,5.318181818181818,3.303030303030303,0.32150588521327156,0.5063102628327018,9.059872817477146,6.2304256833685745,40.50413387048153,nan
fibonacci_offbyone_growth,176,5.6647727272727275,5.6647727272727275,3.107345779220779,0.33685475667009757,0.5090808838633587,8.830035088290007,5.400387776088043,37.989714906811564,0.0886759679600618
balanced_binary_partitions,176,5.818181818181818,5.818181818181818,3.0757575757575757,0.3357052038870221,0.5,8.524018862097954,4.501392034754636,32.88924530893444,0.6180339887498949
