comparison,paired_instances,mean_delay_diff,delay_diff_ci_low,delay_diff_ci_high,mean_force_diff,force_diff_ci_low,force_diff_ci_high,delay_win_rate,force_win_rate,robust_better_delay,robust_better_force
fibonacci_block_growth - random_baseline,176,0.20946969696969697,0.15306429626506463,0.2658750976743293,-0.024356885223362497,-0.03138933773652362,-0.01732443271020137,0.35795454545454547,0.35795454545454547,True,True
fibonacci_block_growth - balanced_binary_partitions,176,0.4367424242424242,0.3325875113187696,0.5408973371660788,-0.038556203897112985,-0.0477293422237155,-0.02938306557051047,0.5909090909090909,0.5909090909090909,True,True
fibonacci_block_growth - fibonacci_mirrored_growth,176,-0.06401515151515151,-0.11772407906050122,-0.01030622396980179,0.006442161058638333,0.001642637191530883,0.011241684925745784,0.08522727272727272,0.08522727272727272,False,False
fibonacci_block_growth - fibonacci_phi_partition,176,0.0909090909090909,0.03765822353556299,0.1441599582826188,-0.010814611524838797,-0.01678618747451981,-0.004843035575157786,0.2215909090909091,0.2215909090909091,True,True
fibonacci_block_growth - fibonacci_offbyone_growth,176,0.4051542207792208,0.34061997213875445,0.46968846941968717,-0.0397057566801885,-0.046772005167801625,-0.03263950819257537,0.5738636363636364,0.5738636363636364,True,True
