family,n,seed,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
fibonacci_block_growth,8,0,3,3,4,4,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,1,4,4,5,5,2.0,0.5,0.5714285714285714,4.132637493579839,2.992202124092012,11.508534334319366,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,2,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,3,3,3,4,4,2.6666666666666665,0.375,0.5714285714285714,4.12814697150289,2.923488998106145,12.379728416848742,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,4,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,5,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.8586133485013105,2.3628306650974795,12.821830217970145,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,6,3,3,4,4,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,7,3,3,4,4,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,8,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,9,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,10,4,4,5,5,2.0,0.5,0.5714285714285714,4.132637493579839,2.992202124092012,11.508534334319366,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,11,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,12,3,3,4,4,2.6666666666666665,0.375,0.5714285714285714,4.1047829368499205,2.9371329966588258,11.70965385275711,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,13,3,3,4,4,2.6666666666666665,0.375,0.5714285714285714,4.12814697150289,2.923488998106145,12.379728416848742,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,14,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.8586133485013105,2.3628306650974795,12.821830217970145,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,15,3,3,4,4,2.6666666666666665,0.375,0.5714285714285714,4.1047829368499205,2.9371329966588258,11.70965385275711,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,10,0,4,4,5,5,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,1,4,4,5,5,2.5,0.4,0.5555555555555556,5.139522106181211,3.8612834954754094,15.486831456257134,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,2,4,4,5,5,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,3,4,4,5,5,2.5,0.4,0.5555555555555556,5.069239401662898,3.382809041143097,15.710291587785969,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,4,4,4,5,5,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,5,4,4,5,5,2.5,0.4,0.5333333333333333,4.899782563072286,2.753476537631476,17.771044256163528,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,6,4,4,5,5,2.5,0.4,0.5555555555555556,5.061368735310008,3.891282248683975,15.371855153002466,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,7,4,4,5,5,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,8,4,4,5,5,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,9,4,4,5,5,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,10,4,4,5,5,2.5,0.4,0.5555555555555556,5.139522106181211,3.8612834954754094,15.486831456257134,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,11,4,4,5,5,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,12,4,4,5,5,2.5,0.4,0.5555555555555556,5.125653984116124,3.7594719222372577,16.36218090017153,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,13,4,4,5,5,2.5,0.4,0.5555555555555556,5.069239401662898,3.382809041143097,15.710291587785969,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,14,4,4,5,5,2.5,0.4,0.5333333333333333,4.899782563072286,2.753476537631476,17.771044256163528,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,15,4,4,5,5,2.5,0.4,0.5555555555555556,5.125653984116124,3.7594719222372577,16.36218090017153,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,0,4,4,5,5,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,1,4,4,5,5,3.0,0.3333333333333333,0.5454545454545454,6.101940140363328,4.45277489563002,21.741665987525593,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,2,4,4,5,5,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,3,4,4,5,5,3.0,0.3333333333333333,0.5454545454545454,6.087689746436004,4.250380770740762,21.602651383070683,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,4,4,4,5,5,3.0,0.3333333333333333,0.5151515151515151,5.8762742944029505,3.698895884801349,22.517989779191364,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,5,4,4,5,5,3.0,0.3333333333333333,0.5151515151515151,5.7774919880386415,3.581791706160848,22.954302433497713,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,6,4,4,5,5,3.0,0.3333333333333333,0.5151515151515151,5.708435326436055,3.784855466816336,20.552990018613247,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,7,4,4,5,5,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib_block_ratio,1.6,0.018033988749894814
