modulus,a,b,exact,"num_full_states_(b,u,v)","num_quot_states_(b,psi)",compression_ratio
11,,,False,5005,,
13,,,False,5005,,
143,1.0,11.0,True,5005,5005.0,1.0
143,1.0,22.0,True,5005,5005.0,1.0
143,1.0,33.0,True,5005,5005.0,1.0
143,1.0,44.0,True,5005,5005.0,1.0
143,1.0,55.0,True,5005,5005.0,1.0
143,1.0,66.0,True,5005,5005.0,1.0
143,1.0,77.0,True,5005,5005.0,1.0
143,1.0,88.0,True,5005,5005.0,1.0
143,1.0,99.0,True,5005,5005.0,1.0
143,1.0,110.0,True,5005,5005.0,1.0
143,1.0,121.0,True,5005,5005.0,1.0
143,1.0,132.0,True,5005,5005.0,1.0
143,2.0,11.0,True,5005,5005.0,1.0
143,2.0,22.0,True,5005,5005.0,1.0
143,2.0,33.0,True,5005,5005.0,1.0
143,2.0,44.0,True,5005,5005.0,1.0
143,2.0,55.0,True,5005,5005.0,1.0
143,2.0,66.0,True,5005,5005.0,1.0
143,2.0,77.0,True,5005,5005.0,1.0
143,2.0,88.0,True,5005,5005.0,1.0
143,2.0,99.0,True,5005,5005.0,1.0
143,2.0,110.0,True,5005,5005.0,1.0
143,2.0,121.0,True,5005,5005.0,1.0
143,2.0,132.0,True,5005,5005.0,1.0
143,3.0,11.0,True,5005,5005.0,1.0
143,3.0,22.0,True,5005,5005.0,1.0
143,3.0,33.0,True,5005,5005.0,1.0
143,3.0,44.0,True,5005,5005.0,1.0
143,3.0,55.0,True,5005,5005.0,1.0
143,3.0,66.0,True,5005,5005.0,1.0
143,3.0,77.0,True,5005,5005.0,1.0
143,3.0,88.0,True,5005,5005.0,1.0
143,3.0,99.0,True,5005,5005.0,1.0
143,3.0,110.0,True,5005,5005.0,1.0
143,3.0,121.0,True,5005,5005.0,1.0
143,3.0,132.0,True,5005,5005.0,1.0
143,4.0,11.0,True,5005,5005.0,1.0
143,4.0,22.0,True,5005,5005.0,1.0
143,4.0,33.0,True,5005,5005.0,1.0
143,4.0,44.0,True,5005,5005.0,1.0
143,4.0,55.0,True,5005,5005.0,1.0
143,4.0,66.0,True,5005,5005.0,1.0
143,4.0,77.0,True,5005,5005.0,1.0
143,4.0,88.0,True,5005,5005.0,1.0
143,4.0,99.0,True,5005,5005.0,1.0
143,4.0,110.0,True,5005,5005.0,1.0
143,4.0,121.0,True,5005,5005.0,1.0
143,4.0,132.0,True,5005,5005.0,1.0
143,5.0,11.0,True,5005,5005.0,1.0
143,5.0,22.0,True,5005,5005.0,1.0
143,5.0,33.0,True,5005,5005.0,1.0
143,5.0,44.0,True,5005,5005.0,1.0
143,5.0,55.0,True,5005,5005.0,1.0
143,5.0,66.0,True,5005,5005.0,1.0
143,5.0,77.0,True,5005,5005.0,1.0
143,5.0,88.0,True,5005,5005.0,1.0
143,5.0,99.0,True,5005,5005.0,1.0
143,5.0,110.0,True,5005,5005.0,1.0
143,5.0,121.0,True,5005,5005.0,1.0
143,5.0,132.0,True,5005,5005.0,1.0
143,6.0,11.0,True,5005,5005.0,1.0
143,6.0,22.0,True,5005,5005.0,1.0
143,6.0,33.0,True,5005,5005.0,1.0
143,6.0,44.0,True,5005,5005.0,1.0
143,6.0,55.0,True,5005,5005.0,1.0
143,6.0,66.0,True,5005,5005.0,1.0
143,6.0,77.0,True,5005,5005.0,1.0
143,6.0,88.0,True,5005,5005.0,1.0
143,6.0,99.0,True,5005,5005.0,1.0
143,6.0,110.0,True,5005,5005.0,1.0
143,6.0,121.0,True,5005,5005.0,1.0
143,6.0,132.0,True,5005,5005.0,1.0
143,7.0,11.0,True,5005,5005.0,1.0
143,7.0,22.0,True,5005,5005.0,1.0
143,7.0,33.0,True,5005,5005.0,1.0
143,7.0,44.0,True,5005,5005.0,1.0
143,7.0,55.0,True,5005,5005.0,1.0
143,7.0,66.0,True,5005,5005.0,1.0
143,7.0,77.0,True,5005,5005.0,1.0
143,7.0,88.0,True,5005,5005.0,1.0
143,7.0,99.0,True,5005,5005.0,1.0
143,7.0,110.0,True,5005,5005.0,1.0
143,7.0,121.0,True,5005,5005.0,1.0
143,7.0,132.0,True,5005,5005.0,1.0
143,8.0,11.0,True,5005,5005.0,1.0
143,8.0,22.0,True,5005,5005.0,1.0
143,8.0,33.0,True,5005,5005.0,1.0
143,8.0,44.0,True,5005,5005.0,1.0
143,8.0,55.0,True,5005,5005.0,1.0
143,8.0,66.0,True,5005,5005.0,1.0
143,8.0,77.0,True,5005,5005.0,1.0
143,8.0,88.0,True,5005,5005.0,1.0
143,8.0,99.0,True,5005,5005.0,1.0
143,8.0,110.0,True,5005,5005.0,1.0
143,8.0,121.0,True,5005,5005.0,1.0
143,8.0,132.0,True,5005,5005.0,1.0
143,9.0,11.0,True,5005,5005.0,1.0
143,9.0,22.0,True,5005,5005.0,1.0
143,9.0,33.0,True,5005,5005.0,1.0
143,9.0,44.0,True,5005,5005.0,1.0
143,9.0,55.0,True,5005,5005.0,1.0
143,9.0,66.0,True,5005,5005.0,1.0
143,9.0,77.0,True,5005,5005.0,1.0
143,9.0,88.0,True,5005,5005.0,1.0
143,9.0,99.0,True,5005,5005.0,1.0
143,9.0,110.0,True,5005,5005.0,1.0
143,9.0,121.0,True,5005,5005.0,1.0
143,9.0,132.0,True,5005,5005.0,1.0
143,10.0,11.0,True,5005,5005.0,1.0
143,10.0,22.0,True,5005,5005.0,1.0
143,10.0,33.0,True,5005,5005.0,1.0
143,10.0,44.0,True,5005,5005.0,1.0
143,10.0,55.0,True,5005,5005.0,1.0
143,10.0,66.0,True,5005,5005.0,1.0
143,10.0,77.0,True,5005,5005.0,1.0
143,10.0,88.0,True,5005,5005.0,1.0
143,10.0,99.0,True,5005,5005.0,1.0
143,10.0,110.0,True,5005,5005.0,1.0
143,10.0,121.0,True,5005,5005.0,1.0
143,10.0,132.0,True,5005,5005.0,1.0
143,12.0,11.0,True,5005,5005.0,1.0
143,12.0,22.0,True,5005,5005.0,1.0
143,12.0,33.0,True,5005,5005.0,1.0
143,12.0,44.0,True,5005,5005.0,1.0
143,12.0,55.0,True,5005,5005.0,1.0
143,12.0,66.0,True,5005,5005.0,1.0
143,12.0,77.0,True,5005,5005.0,1.0
143,12.0,88.0,True,5005,5005.0,1.0
143,12.0,99.0,True,5005,5005.0,1.0
143,12.0,110.0,True,5005,5005.0,1.0
143,12.0,121.0,True,5005,5005.0,1.0
143,12.0,132.0,True,5005,5005.0,1.0
143,13.0,1.0,True,5005,5005.0,1.0
143,13.0,2.0,True,5005,5005.0,1.0
143,13.0,3.0,True,5005,5005.0,1.0
143,13.0,4.0,True,5005,5005.0,1.0
143,13.0,5.0,True,5005,5005.0,1.0
143,13.0,6.0,True,5005,5005.0,1.0
143,13.0,7.0,True,5005,5005.0,1.0
143,13.0,8.0,True,5005,5005.0,1.0
143,13.0,9.0,True,5005,5005.0,1.0
143,13.0,10.0,True,5005,5005.0,1.0
143,13.0,11.0,True,5005,5005.0,1.0
143,13.0,12.0,True,5005,5005.0,1.0
143,13.0,14.0,True,5005,5005.0,1.0
143,13.0,15.0,True,5005,5005.0,1.0
143,13.0,16.0,True,5005,5005.0,1.0
143,13.0,17.0,True,5005,5005.0,1.0
143,13.0,18.0,True,5005,5005.0,1.0
143,13.0,19.0,True,5005,5005.0,1.0
143,13.0,20.0,True,5005,5005.0,1.0
143,13.0,21.0,True,5005,5005.0,1.0
143,13.0,22.0,True,5005,5005.0,1.0
143,13.0,23.0,True,5005,5005.0,1.0
143,13.0,24.0,True,5005,5005.0,1.0
143,13.0,25.0,True,5005,5005.0,1.0
143,13.0,27.0,True,5005,5005.0,1.0
143,13.0,28.0,True,5005,5005.0,1.0
143,13.0,29.0,True,5005,5005.0,1.0
143,13.0,30.0,True,5005,5005.0,1.0
143,13.0,31.0,True,5005,5005.0,1.0
143,13.0,32.0,True,5005,5005.0,1.0
143,13.0,33.0,True,5005,5005.0,1.0
143,13.0,34.0,True,5005,5005.0,1.0
143,13.0,35.0,True,5005,5005.0,1.0
143,13.0,36.0,True,5005,5005.0,1.0
143,13.0,37.0,True,5005,5005.0,1.0
143,13.0,38.0,True,5005,5005.0,1.0
143,13.0,40.0,True,5005,5005.0,1.0
143,13.0,41.0,True,5005,5005.0,1.0
143,13.0,42.0,True,5005,5005.0,1.0
143,13.0,43.0,True,5005,5005.0,1.0
143,13.0,44.0,True,5005,5005.0,1.0
143,13.0,45.0,True,5005,5005.0,1.0
143,13.0,46.0,True,5005,5005.0,1.0
143,13.0,47.0,True,5005,5005.0,1.0
143,13.0,48.0,True,5005,5005.0,1.0
143,13.0,49.0,True,5005,5005.0,1.0
143,13.0,50.0,True,5005,5005.0,1.0
143,13.0,51.0,True,5005,5005.0,1.0
143,13.0,53.0,True,5005,5005.0,1.0
143,13.0,54.0,True,5005,5005.0,1.0
