qdim,W,L,fiber_mod,captured_energy,transport_rel_error,eig1_abs,eig1_angle,eig2_abs,eig2_angle,eig3_abs,eig3_angle
2,2310,385,11,0.02500000000000006,0.43723116197716544,0.9005486290925817,-0.1089911030061078,0.8979889770111915,0.11117068499793686,,
2,30030,5005,143,0.025000000000000043,0.3585395822655354,0.9335182360368944,0.030820736922004915,0.9334335781210004,-0.2128659588509259,,
2,510510,85085,2431,0.025000000000000064,0.4108864394155072,0.9121497768346917,0.1827057564793521,0.91122207813484,-0.22483537237265974,,
3,2310,385,11,0.037500000000000075,0.45419310012796643,0.898108963227281,0.1264103805130232,0.892528700258049,-0.1150654580124738,0.8806490491996071,0.023547481505921425
3,30030,5005,143,0.03750000000000006,0.361367640766261,0.9330654647260489,-0.21892462291487066,0.9322248323386424,-0.01628649536044014,0.931868148543339,0.050485892251320545
3,510510,85085,2431,0.03750000000000008,0.3984925122911865,0.9237959287108237,0.03286935049553454,0.9148294700648544,-0.23811342634188257,0.9126186406134124,0.21562104107317515
