qdim,mean_transport_rel_error,mean_captured_energy,mean_conjugated_relative_distance,mean_direct_relative_distance
2,0.3131538383365344,0.041666666666666706,0.07014592189877909,0.13164206422889835
3,0.32168353488981266,0.06250000000000006,0.07932083356028685,0.15610981360364554
4,0.3286034089913714,0.08333333333333341,0.13516043510725337,0.2094199523426147
