b,spin,b_next,spin_next
0,0,1,0
0,4,1,5
1,0,2,0
1,5,2,0
2,0,3,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,7,0
7,0,8,0
8,0,9,0
9,0,10,0
10,0,11,0
11,0,12,1
12,0,13,0
12,1,13,2
13,0,14,0
13,2,14,3
14,0,15,0
14,3,15,4
15,0,16,0
15,4,16,5
16,0,17,0
16,5,17,0
17,0,18,0
18,0,19,0
19,0,20,0
20,0,21,0
21,0,22,0
22,0,23,0
23,0,24,0
24,0,25,0
25,0,26,0
26,0,27,1
27,0,28,0
27,1,28,2
28,0,29,0
28,2,29,3
29,0,30,0
29,3,30,4
30,0,31,0
30,4,31,5
31,0,32,1
31,5,32,0
32,0,33,0
32,1,33,2
33,0,34,0
33,2,34,3
34,0,0,0
34,3,0,4
