coarse_residue_mod_30030,k,x17,x19,n,label,factorization,residue_mod_510510,residue_mod_9699690
1,106,4,6,3183181,semiprime_large,421 * 7561,120121,3183181
1,107,5,6,3213211,other_composite,41 * 109 * 719,150151,3213211
1,108,6,6,3243241,semiprime_large,997 * 3253,180181,3243241
1,109,7,6,3273271,other_composite,83 * 113 * 349,210211,3273271
1,110,8,6,3303301,other_composite,47 * 67 * 1049,240241,3303301
1,111,9,6,3333331,prime,3333331,270271,3333331
1,112,10,6,3363361,semiprime_large,19 * 177019,300301,3363361
1,113,11,6,3393391,semiprime_large,223 * 15217,330331,3393391
1,114,12,6,3423421,other_composite,29 * 97 * 1217,360361,3423421
1,115,13,6,3453451,prime,3453451,390391,3453451
1,116,14,6,3483481,prime,3483481,420421,3483481
1,117,15,6,3513511,prime,3513511,450451,3513511
1,118,16,6,3543541,semiprime_large,23 * 154067,480481,3543541
1,119,0,7,3573571,other_composite,37 * 59 * 1637,1,3573571
1,120,1,7,3603601,semiprime_large,541 * 6661,30031,3603601
1,121,2,7,3633631,other_composite,17 * 211 * 1013,60061,3633631
1,122,3,7,3663661,prime,3663661,90091,3663661
1,123,4,7,3693691,prime,3693691,120121,3693691
1,124,5,7,3723721,prime,3723721,150151,3723721
1,125,6,7,3753751,prime,3753751,180181,3753751
1,126,7,7,3783781,semiprime_large,263 * 14387,210211,3783781
1,127,8,7,3813811,prime,3813811,240241,3813811
1,128,9,7,3843841,prime,3843841,270271,3843841
1,129,10,7,3873871,prime,3873871,300301,3873871
1,130,11,7,3903901,prime,3903901,330331,3903901
1,131,12,7,3933931,other_composite,19 * 31 * 6679,360361,3933931
1,132,13,7,3963961,semiprime_large,379 * 10459,390391,3963961
1,133,14,7,3993991,prime,3993991,420421,3993991
1,134,15,7,4024021,prime,4024021,450451,4024021
1,135,16,7,4054051,semiprime_large,1801 * 2251,480481,4054051
1,136,0,8,4084081,prime,4084081,1,4084081
1,137,1,8,4114111,other_composite,43 * 241 * 397,30031,4114111
1,138,2,8,4144141,other_composite,17 * 317 * 769,60061,4144141
1,139,3,8,4174171,prime,4174171,90091,4174171
1,140,4,8,4204201,semiprime_large,269 * 15629,120121,4204201
1,141,5,8,4234231,other_composite,23 * 227 * 811,150151,4234231
1,142,6,8,4264261,prime,4264261,180181,4264261
1,143,7,8,4294291,semiprime_large,29 * 148079,210211,4294291
1,144,8,8,4324321,prime,4324321,240241,4324321
1,145,9,8,4354351,semiprime_large,257 * 16943,270271,4354351
1,146,10,8,4384381,semiprime_large,193 * 22717,300301,4384381
1,147,11,8,4414411,prime,4414411,330331,4414411
1,148,12,8,4444441,semiprime_large,41 * 108401,360361,4444441
1,149,13,8,4474471,prime,4474471,390391,4474471
1,150,14,8,4504501,other_composite,19 * 79 * 3001,420421,4504501
1,151,15,8,4534531,semiprime_large,191 * 23741,450451,4534531
1,152,16,8,4564561,semiprime_large,641 * 7121,480481,4564561
1,153,0,9,4594591,semiprime_large,101 * 45491,1,4594591
1,154,1,9,4624621,semiprime_large,53 * 87257,30031,4624621
1,155,2,9,4654651,semiprime_large,17 * 273803,60061,4654651
1,156,3,9,4684681,semiprime_large,37 * 126613,90091,4684681
1,157,4,9,4714711,semiprime_large,47 * 100313,120121,4714711
1,158,5,9,4744741,prime,4744741,150151,4744741
1,159,6,9,4774771,other_composite,103 * 151 * 307,180181,4774771
1,160,7,9,4804801,semiprime_large,523 * 9187,210211,4804801
1,161,8,9,4834831,semiprime_large,173 * 27947,240241,4834831
1,162,9,9,4864861,other_composite,31 * 139 * 1129,270271,4864861
1,163,10,9,4894891,semiprime_large,727 * 6733,300301,4894891
1,164,11,9,4924921,other_composite,23 * 233 * 919,330331,4924921
1,165,12,9,4954951,prime,4954951,360361,4954951
1,166,13,9,4984981,other_composite,61 * 71 * 1151,390391,4984981
1,167,14,9,5015011,semiprime_large,419 * 11969,420421,5015011
1,168,15,9,5045041,semiprime_large,283 * 17827,450451,5045041
1,169,16,9,5075071,other_composite,19 * 131 * 2039,480481,5075071
1,170,0,10,5105101,prime,5105101,1,5105101
1,171,1,10,5135131,prime,5135131,30031,5135131
1,172,2,10,5165161,other_composite,17 * 29 * 10477,60061,5165161
1,173,3,10,5195191,semiprime_large,73 * 71167,90091,5195191
1,174,4,10,5225221,semiprime_large,571 * 9151,120121,5225221
1,175,5,10,5255251,prime,5255251,150151,5255251
1,176,6,10,5285281,prime,5285281,180181,5285281
1,177,7,10,5315311,semiprime_large,67 * 79333,210211,5315311
1,178,8,10,5345341,semiprime_large,59 * 90599,240241,5345341
1,179,9,10,5375371,prime,5375371,270271,5375371
1,180,10,10,5405401,semiprime_large,43 * 125707,300301,5405401
1,181,11,10,5435431,prime,5435431,330331,5435431
1,182,12,10,5465461,prime,5465461,360361,5465461
1,183,13,10,5495491,semiprime_large,1613 * 3407,390391,5495491
1,184,14,10,5525521,semiprime_large,607 * 9103,420421,5525521
1,185,15,10,5555551,semiprime_large,773 * 7187,450451,5555551
1,186,16,10,5585581,semiprime_large,271 * 20611,480481,5585581
1,187,0,11,5615611,semiprime_large,23 * 244157,1,5615611
1,188,1,11,5645641,other_composite,19 * 107 * 2777,30031,5645641
1,189,2,11,5675671,other_composite,,60061,5675671
1,190,3,11,5705701,semiprime_large,89 * 64109,90091,5705701
1,191,4,11,5735731,prime,5735731,120121,5735731
1,192,5,11,5765761,semiprime_large,83 * 69467,150151,5765761
1,193,6,11,5795791,other_composite,,180181,5795791
1,194,7,11,5825821,semiprime_large,691 * 8431,210211,5825821
1,195,8,11,5855851,prime,5855851,240241,5855851
1,196,9,11,5885881,prime,5885881,270271,5885881
