wheel_W,orbit_length_L=W/6,admissible_phases,density,top1_energy_frac,top5_energy_frac,top10_energy_frac,top50_energy_frac,modes_for_50pct_energy,modes_for_90pct_energy
210,35,3,0.08571428571428572,0.08571428571428574,0.42857142857142855,0.6689960637867765,1.0,7,15
2310,385,21,0.05454545454545454,0.05454545454545454,0.2727272727272727,0.42572476786431235,0.7622659211691057,13,92
30030,5005,189,0.03776223776223776,0.03776223776223776,0.1888111888111888,0.29473253159837004,0.5398108296010828,39,433
