label,n,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48
prime,100003,-3.165897244620192,-3.5564057803342988,4.761399735150257,0.05800212208327299,2.219971022657394,2.22072861637902,-1.208857449901777,-3.0021173122485907,3.2363628799449744,1.134758915794042,-0.04306321052465334,1.1355757293438253,-0.9652758089864341,-0.024231426964061442,0.9655799032017648,-0.23741939984220062,1.4436131994517742,1.4630061657603561,-2.2498540851046687,-1.6405299636151232,2.7844536206913557,-0.4588319598392677,0.6273115673276016,0.7772043295510875,0.5574779070008832,3.0448425495312597,3.0954559871253386,3.4684400003108986,1.5121138534039913,3.783723607957237,-1.3815715225743805,-2.256814228969601,2.646119864266951,1.0567148840624374,-0.8611826597236861,1.3631881453445276,22.67092743788894,4.931635587604677,10.474044690685728,1.2895322370747608,0.9323445494671294,2.1403870410528185,7.7531819657812004,0.6040465698729555,9.581847768230105,14.316564341412931,7.001950336068147,1.8582819196078528
prime,100019,-2.5383228558262334,1.9529662529101781,3.2026801441005417,-2.5310967797144435,-1.3234352548583417,2.856209337930746,0.7498616830073738,-1.6460122778838349,1.808770013735019,-0.39791419677470286,0.10193230108655224,0.4107625859297028,-1.635608155869773,0.5406659491682437,1.7226531015087505,0.8713613387668548,0.6757402575946858,1.1026765067016246,1.645937061132414,1.8834657100156633,2.501310034764586,1.661882272822297,0.06954575393944673,1.6633367971075521,-4.155639583922557,-2.0991452868261766,4.655722423713488,3.0272806071994167,-0.47801774218753995,3.064788546795968,-0.60079294490668,-2.069660134298937,2.1550974999187242,-0.2782838517635945,1.2396324484748156,1.2704843601808125,10.257160105415867,8.15793178208279,3.271648962586981,0.16872590199965645,2.9675337081377173,1.215895478431698,6.2565518900140145,2.76668930061201,21.675751286668596,9.392928836571743,4.644445234155936,1.6141305094640483
prime,100043,-1.9050888569526938,2.583033172595763,3.209583138604678,-1.694522855573359,-0.9976213997722944,1.966381490287203,-0.2787733181862061,2.468636885589765,2.4843274010940837,-0.24493499939833607,0.07776042641889935,0.25698217418161895,-0.8558675260097083,-0.1317468999777014,0.8659483054615403,1.2773663146288954,0.0885518959197788,1.2804320130407525,-1.7229533356011117,-1.6685917239003665,2.3984925552787932,-1.3732230074591594,-0.35217687483481885,1.4176635635381187,-0.36013439300647543,1.4586129693588084,1.5024142489366445,1.919050268633975,-1.7070061208092149,2.568389345489553,1.398827926570979,-4.2225106517629625,4.448181175762352,2.843209762505354,3.5501822912782828,4.548366306149019,10.301423923615454,3.8666561653441214,6.171882635826884,0.06603983784711194,0.7498664677317132,1.6395061400195938,5.752766537727795,2.0097699793835977,2.257248575407862,6.596623830024256,19.786315772406542,20.687636054911668
prime,100049,-2.8302594146276636,-2.0416550417540416,3.4898028115651782,0.9923698622478971,-3.040973113743631,3.198799059336104,-1.3091137528305528,-0.7028722189847556,1.4858695010231038,-3.431138142261061,0.27498300052862756,3.4421395384060784,-0.1670479447592802,3.0146851062712097,3.0193097399607334,2.2613100440503477,-0.9186745827769963,2.440796202955805,-1.3465560221639223,1.7283600640870553,2.190991015946194,1.7936485926943027,-0.9120553641447068,2.012217746999411,-0.7174642641045379,-0.41827689728054185,0.8304881293948175,1.0831989434915865,1.057285000427888,1.5136616277461379,-0.3734523734521182,-0.4853649970654324,0.6124098755027939,1.205778657814395,-2.175134010938286,2.4869881658707507,12.178723663608222,10.232315422009545,2.2078081740706472,11.84832460185841,9.116231305821751,5.957486104363475,4.800441631956936,4.049020261339385,0.6897105330657032,2.2911715233110876,0.3750458556133475,6.1851101371811605
prime,100057,-1.7017296298434563,1.2613053319923364,2.1182008577090716,-0.43691687894596,0.3642310140076539,0.5688238661245874,-1.7626606237326206,0.4967284289191014,1.8313141747264203,2.254403213761146,-5.3055959641040955,5.764692739820072,-0.9085263830552733,0.6566562153987634,1.1209895512132682,-0.24813037523874604,-1.8129353672181767,1.8298369678270867,0.14865010440408932,0.620401593168816,0.6379615900238444,-1.0837231017083164,0.8599624351909977,1.3834706903711134,-1.2116854125307452,-0.4266209875875463,1.284596047786998,-2.9561657230566443,0.009650483798708143,2.9561814751487367,0.10095018961182523,0.8217782440810573,0.8279555683897593,2.378882891869435,1.8965215828654842,3.0423474370136767,4.486774873599447,0.3235605906729225,3.35371160655391,33.231682384534246,1.2566175739293244,3.348303328826627,0.40699499034575176,1.913991151115925,1.6501870059899753,8.739008914012562,0.6855104232276094,9.255877927503688
prime,100069,-2.6247870914803766,-0.13849052659641103,2.628438110657918,-0.3275076776404836,-3.227718239988284,3.244291342599572,1.6839509767639886,-0.5363290103761565,1.7672972866825374,-1.353646104727073,-2.605271416061623,2.935949067710561,-4.6010295081479065,2.1958622385908004,5.098164719358993,0.31680007340529526,0.4340987490028183,0.5374048849753901,1.3763621374259658,0.2500441168324483,1.3988905581575322,-1.5713356153153852,3.875329334857468,4.181778696866371,1.1598056230530966,-0.837320216442622,1.4304734279702997,4.266205552127243,-0.8129661609227516,4.342974072200614,-2.4906062211095557,-0.2037956602701969,2.4989301750498325,1.493421136724945,-0.639545693082141,1.6246000692960538,6.908686901558966,10.525426315666532,3.1233396995154585,8.619796928190512,25.991283505716765,0.28880401039541226,1.9568947937022918,17.487273069565408,2.0462542281291003,18.861423791806786,6.244652019774587,2.639325385156743
prime,100103,-2.8233904894675046,-2.0481751156077124,3.4880589387523577,-2.2127609523406995,-2.8654402671304595,3.6203672405843577,1.6137529731158975,2.300095565822172,2.80973989368326,-1.5043451105456884,0.4595264509111319,1.5729649616916774,-0.7382464190255044,-2.2529265912792136,2.370798599817572,1.2019173819412634,2.2593461010063307,2.5591502881122574,-2.5967852127307576,1.3204872547596325,2.9132421854421504,3.927880505804611,-1.1627285237292324,4.096362152907559,-1.7511120465902614,0.5200924757285309,1.8267155178141359,1.305025455063737,0.7208214256305719,1.4908638321498056,1.9077508713361178,-2.1618936765490187,2.883278976406263,-2.1604950881111957,-2.6622575954891117,3.428608249784754,12.166555160210224,13.107058956696397,7.894638270155216,2.4742187707097,5.620686000896959,6.54925019714505,8.486980031039757,16.78018288777345,3.3368895830229666,2.2226749660124034,8.313297655786348,11.755354530492074
prime,100109,0.522524013335788,5.754034477472395,5.777710975157337,0.43201280938409026,1.844327132026781,1.8942485680084504,-1.8273400165898213,4.1375823872396165,4.523136030170436,-4.717536373863981,0.5446614737025566,4.748874136010088,-2.140934682216874,-4.118662985610999,4.6418731243498215,2.434576072407469,-0.7276724337150912,2.540997407147009,-0.9299315949090617,-0.20918322864094607,0.9531686075164045,1.4390080363489628,0.028910306728657353,1.4392984174631898,-1.5949130458777379,0.5326599194854931,1.6815095045040023,-0.7105508601690549,-0.8705802139728744,1.1237403765318925,-0.9452438902239801,-3.587217041105265,3.709664689968863,5.34014049618853,-1.557009242152715,5.562497487566322,33.381944112453546,3.588177637402065,20.45875954742597,22.551805559665564,21.546986102561174,6.456667823127822,0.9085303943547616,2.0715799345120423,2.8274742137372955,1.2627924338480396,13.76161211200178,30.941378299181643
prime,100129,-4.4183530798362,-0.6613327429640681,4.467572599859392,2.350934294173845,1.304285621428727,2.688503866054203,-0.363485565838426,-2.4726075253266817,2.4991818122887772,-3.225804967177685,-0.8111991891386966,3.3262383875374155,2.654600797638397,-2.2950255369060586,3.509137730251316,-2.183357565611668,2.614337773111477,3.4061433104364807,0.2212121372760566,-0.1327936637068411,0.2580096253997639,-1.4518129953575891,1.374365278120139,1.9991600464173505,-1.636051233766155,2.587922316903321,3.0616997824466745,3.9280063733567605,-4.485829122522262,5.96254115169029,-2.1083386320376687,4.610717642003531,5.069892401385366,5.440617819517254,-1.7196332358240909,5.705914538774612,19.95920493501441,7.228053037788396,6.245909730875017,11.063861810727506,12.314047609873356,11.601812251231188,0.0665689667989265,3.9966408911914226,9.374005557834014,35.55189698560017,25.703808961625075,32.5574607237995
prime,100151,-3.287426421233539,-0.040962389612057004,3.2876816135975035,1.1046502247493097,2.5962808587653528,2.8215113709907422,-3.271055970816885,-2.3862653385739514,4.048959055151861,-1.4573152566283614,1.5819650388032944,2.150902401597454,-0.6738297322679854,-1.9825638781989716,2.0939450898310805,5.143642322710223,0.5455727466293918,5.172495139276648,-0.9832740760453611,0.1992623643458059,1.0032613809309812,0.9416329836120187,0.9679623786660692,1.3504161737549456,-1.8869489231463417,-2.3293918822845665,2.997772970025645,-1.3930554409094038,2.692180804324254,3.031244124879961,-0.7363426782405585,-1.6798061997756057,1.8341072511178402,2.344135711489488,1.7412235693405322,2.920073929253729,10.808850392387084,7.960926416630058,16.39406943029625,4.626381141197695,4.384606039227692,26.754705965840547,1.0065333984675393,1.8236238423389475,8.986642779816377,9.18844094461928,3.36394940860304,8.526831752307311
