max_active_prime,prime_mean_h1_mag,semiprime_mean_h1_mag,effect_size_like_separation
11,2.554971676559676,2.577613645505493,-0.022749725205483413
13,2.766384491922088,2.8033829590203787,-0.032860533136751496
17,2.950859010296823,2.965281621670059,-0.011309216139965023
19,3.0856753350501562,3.1098337384929806,-0.017322980588862613
23,3.247501045394785,3.2143486101237113,0.022317707750170807
