H,small_pattern_id,small_signature_uint64,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern
55,0,0,6820,0,1
55,1,1,448,448,2
55,2,2,448,448,2
55,3,4,448,448,2
55,4,8,448,448,2
55,5,16,448,448,2
55,6,32,554,554,2
55,7,33,86,86,4
55,8,64,554,554,2
55,9,66,86,86,4
55,10,128,554,554,2
55,11,132,86,86,4
55,12,256,554,554,2
55,13,264,86,86,4
55,14,512,554,554,2
55,15,528,86,86,4
55,16,1024,554,554,2
55,17,1056,86,86,4
55,18,2048,554,554,2
55,19,2112,86,86,4
55,20,4096,554,554,2
55,21,4224,86,86,4
55,22,8192,554,554,2
55,23,8448,86,86,4
55,24,16384,554,554,2
55,25,16896,86,86,4
55,26,32768,509,509,2
55,27,32769,229,229,3
55,28,33792,86,86,4
55,29,65536,509,509,2
55,30,65538,229,229,3
55,31,67584,86,86,4
55,32,131072,509,509,2
55,33,131076,229,229,3
55,34,135168,86,86,4
55,35,262144,509,509,2
55,36,262152,229,229,3
55,37,270336,86,86,4
55,38,524288,509,509,2
55,39,524304,229,229,3
55,40,540672,86,86,4
55,41,1048576,694,694,2
55,42,1048577,151,151,4
55,43,1048608,316,316,3
55,44,1048609,16,16,6
55,45,1081344,152,152,4
55,46,1081345,24,24,6
55,47,2097152,694,694,2
55,48,2097154,151,151,4
55,49,2097216,316,316,3
55,50,2097218,16,16,6
55,51,2162688,152,152,4
55,52,2162690,24,24,6
55,53,4194304,694,694,2
55,54,4194308,151,151,4
55,55,4194432,316,316,3
55,56,4194436,16,16,6
55,57,4325376,152,152,4
55,58,4325380,24,24,6
55,59,8388608,694,694,2
55,60,8388616,151,151,4
55,61,8388864,316,316,3
55,62,8388872,16,16,6
55,63,8650752,152,152,4
55,64,8650760,24,24,6
55,65,16777216,694,694,2
55,66,16777232,151,151,4
55,67,16777728,316,316,3
55,68,16777744,16,16,6
55,69,17301504,152,152,4
55,70,17301520,24,24,6
55,71,33554432,830,830,2
55,72,33554464,167,167,4
55,73,33555456,316,316,3
55,74,33555488,16,16,6
55,75,34603008,192,192,4
55,76,34603040,24,24,6
55,77,67108864,830,830,2
