n,label,factorization,x17,x19,theta_base,theta17,theta19
8948941,semiprime_large,47 * 190403,9,17,0.02857142857142857,0.5294117647058824,0.8947368421052632
8978971,prime,8978971,10,17,0.02857142857142857,0.5882352941176471,0.8947368421052632
9009001,semiprime_large,131 * 68771,11,17,0.02857142857142857,0.6470588235294118,0.8947368421052632
9039031,semiprime_large,139 * 65029,12,17,0.02857142857142857,0.7058823529411765,0.8947368421052632
9069061,other_composite,19 * 23 * 20753,13,17,0.02857142857142857,0.7647058823529411,0.8947368421052632
9099091,semiprime_large,401 * 22691,14,17,0.02857142857142857,0.8235294117647058,0.8947368421052632
9129121,other_composite,37 * 251 * 983,15,17,0.02857142857142857,0.8823529411764706,0.8947368421052632
9159151,semiprime_large,449 * 20399,16,17,0.02857142857142857,0.9411764705882353,0.8947368421052632
9189181,prime,9189181,0,18,0.02857142857142857,0.0,0.9473684210526315
9219211,prime,9219211,1,18,0.02857142857142857,0.058823529411764705,0.9473684210526315
9249241,other_composite,17 * 71 * 79 * 97,2,18,0.02857142857142857,0.11764705882352941,0.9473684210526315
9279271,semiprime_large,43 * 215797,3,18,0.02857142857142857,0.17647058823529413,0.9473684210526315
9309301,semiprime_large,151 * 61651,4,18,0.02857142857142857,0.23529411764705882,0.9473684210526315
9339331,semiprime_large,67 * 139393,5,18,0.02857142857142857,0.29411764705882354,0.9473684210526315
9369361,semiprime_large,41 * 228521,6,18,0.02857142857142857,0.35294117647058826,0.9473684210526315
9399391,semiprime_large,53 * 177347,7,18,0.02857142857142857,0.4117647058823529,0.9473684210526315
9429421,semiprime_large,2411 * 3911,8,18,0.02857142857142857,0.47058823529411764,0.9473684210526315
9459451,prime,9459451,9,18,0.02857142857142857,0.5294117647058824,0.9473684210526315
9489481,semiprime_large,2689 * 3529,10,18,0.02857142857142857,0.5882352941176471,0.9473684210526315
9519511,other_composite,29 * 31 * 10589,11,18,0.02857142857142857,0.6470588235294118,0.9473684210526315
9549541,semiprime_large,1093 * 8737,12,18,0.02857142857142857,0.7058823529411765,0.9473684210526315
9579571,other_composite,73 * 281 * 467,13,18,0.02857142857142857,0.7647058823529411,0.9473684210526315
9609601,prime,9609601,14,18,0.02857142857142857,0.8235294117647058,0.9473684210526315
9639631,semiprime_large,19 * 507349,15,18,0.02857142857142857,0.8823529411764706,0.9473684210526315
9669661,prime,9669661,16,18,0.02857142857142857,0.9411764705882353,0.9473684210526315
