H,mode_index,eigenvalue_real,eigenvalue_imag,eigenvalue_abs
1,1,1.0,0.0,1.0
1,2,-0.03924418604651163,0.0,0.03924418604651163
2,1,1.000000000000001,0.0,1.000000000000001
2,2,-0.02042360060514374,0.2010723196976876,0.2021069053998094
2,3,-0.02042360060514374,-0.2010723196976876,0.2021069053998094
3,1,1.0,0.0,1.0
3,2,0.13955802865207592,0.3360100100382801,0.3638394841233958
3,3,0.13955802865207592,-0.3360100100382801,0.3638394841233958
3,4,-0.3217028080927953,0.0,0.3217028080927953
5,1,0.9999999999999996,0.0,0.9999999999999996
5,2,-0.5107734326716176,0.3799046826575682,0.6365666245007627
5,3,-0.5107734326716176,-0.3799046826575682,0.6365666245007627
5,4,0.2233277398242401,0.5907316186576393,0.631537112652042
5,5,0.2233277398242401,-0.5907316186576393,0.631537112652042
5,6,0.5342509916060839,0.0,0.5342509916060839
8,1,1.0,0.0,1.0
8,2,0.2222913743127803,0.7073342877688606,0.7414413326402474
8,3,0.2222913743127803,-0.7073342877688606,0.7414413326402474
8,4,0.637482229622043,0.298008028862654,0.7036990680329878
8,5,0.637482229622043,-0.298008028862654,0.7036990680329878
8,6,-0.5916814094701737,0.32642803514625407,0.6757530262174601
8,7,-0.5916814094701737,-0.32642803514625407,0.6757530262174601
8,8,-0.29123384944361363,0.4901300736234997,0.5701268666989152
8,9,-0.29123384944361363,-0.4901300736234997,0.5701268666989152
8,10,-4.846012198986349e-07,8.393698292565618e-07,9.692162052882913e-07
8,11,-4.846012198986349e-07,-8.393698292565618e-07,9.692162052882913e-07
8,12,9.6920243981137e-07,0.0,9.6920243981137e-07
13,1,1.0000000000000007,0.0,1.0000000000000007
13,2,0.8375951170399382,0.26890387442893127,0.8797015822266312
13,3,0.8375951170399382,-0.26890387442893127,0.8797015822266312
13,4,0.24109083153877417,0.7804538440691781,0.8168433091936386
13,5,0.24109083153877417,-0.7804538440691781,0.8168433091936386
13,6,0.5387283488142744,0.6015903600828396,0.807551357599475
13,7,0.5387283488142744,-0.6015903600828396,0.807551357599475
13,8,-0.696794516709181,0.36782428996267696,0.7879196068143809
13,9,-0.696794516709181,-0.36782428996267696,0.7879196068143809
13,10,-0.48704179703688055,0.6132192961645891,0.7831012816037962
13,11,-0.48704179703688055,-0.6132192961645891,0.7831012816037962
13,12,-0.0905622010228237,0.7646875244972139,0.7700315073915973
13,13,-0.0905622010228237,-0.7646875244972139,0.7700315073915973
13,14,-0.7126897401480075,0.06069912628746142,0.7152699138397305
13,15,-0.7126897401480075,-0.06069912628746142,0.7152699138397305
21,1,1.000000000000001,0.0,1.000000000000001
21,2,-0.7736070527316043,0.5595873208074814,0.9547805201430192
21,3,-0.7736070527316043,-0.5595873208074814,0.9547805201430192
21,4,0.2919289272200176,-0.9030846203700599,0.9490965862844337
21,5,0.2919289272200176,0.9030846203700599,0.9490965862844337
21,6,-0.06438306597473809,0.9145870476598531,0.916850395065342
21,7,-0.06438306597473809,-0.9145870476598531,0.916850395065342
21,8,0.5932073695399502,-0.6965796122141282,0.9149416043818821
21,9,0.5932073695399502,0.6965796122141282,0.9149416043818821
21,10,-0.8858099047103787,0.22819518525420035,0.9147306870637986
21,11,-0.8858099047103787,-0.22819518525420035,0.9147306870637986
21,12,-0.4846163329377485,0.7672069636518324,0.9074467010386311
21,13,-0.4846163329377485,-0.7672069636518324,0.9074467010386311
21,14,0.8204772265696403,-0.3485628656773565,0.8914476712901436
21,15,0.8204772265696403,0.3485628656773565,0.8914476712901436
