b,spin,b_next,spin_next
0,0,1,1
0,15,1,16
0,21,1,22
0,23,1,23
1,1,2,2
1,16,2,2
1,22,2,23
1,23,2,23
2,2,3,3
2,23,3,23
3,3,4,4
3,23,4,23
4,4,5,5
4,23,5,23
5,5,6,6
5,23,6,23
6,6,7,7
6,23,7,23
7,7,8,8
7,23,8,23
8,8,9,9
8,23,9,23
9,9,10,10
9,23,10,23
10,10,11,11
10,23,11,23
11,11,12,12
11,17,12,18
11,23,12,23
11,24,12,25
12,12,13,13
12,18,13,19
12,23,13,23
12,25,13,26
13,13,14,14
13,19,14,20
13,23,14,23
13,26,14,27
14,14,15,15
14,20,15,21
14,23,15,23
14,27,15,0
15,0,16,28
15,15,16,16
15,21,16,22
15,23,16,24
16,1,17,2
16,16,17,2
16,22,17,23
16,23,17,23
16,24,17,25
16,28,17,29
16,44,17,29
16,45,17,25
17,2,18,3
17,23,18,23
17,25,18,26
17,29,18,30
18,3,19,4
18,23,19,23
18,26,19,27
18,30,19,31
19,4,20,5
19,23,20,23
19,27,20,0
19,31,20,32
20,0,21,1
20,5,21,6
20,23,21,23
20,32,21,33
21,1,22,2
21,6,22,7
21,23,22,23
21,33,22,34
22,2,23,3
22,7,23,8
22,23,23,23
22,34,23,35
23,3,24,4
23,8,24,9
23,23,24,23
23,35,24,36
24,4,25,5
24,9,25,10
24,23,25,23
24,36,25,37
25,5,26,6
25,10,26,17
25,23,26,23
25,37,26,38
26,6,27,7
26,17,27,18
26,23,27,23
26,38,27,39
27,7,28,8
27,18,28,19
27,23,28,23
27,39,28,40
28,8,29,9
28,19,29,20
28,23,29,23
28,40,29,41
29,9,30,10
29,20,30,21
29,23,30,23
29,41,30,42
30,10,31,11
30,21,31,22
30,23,31,23
30,42,31,43
31,11,32,12
31,17,32,18
31,22,32,23
31,23,32,23
31,24,32,25
31,43,32,18
31,45,32,25
31,46,32,12
32,12,33,13
32,18,33,19
32,23,33,23
32,25,33,26
33,13,34,14
33,19,34,20
33,23,34,23
33,26,34,27
34,14,0,15
34,20,0,21
34,23,0,23
34,27,0,0
