wheel_W,orbit_length_L,ones,density,subword_complexity_k1,subword_complexity_k10,subword_complexity_k20,subword_complexity_k50,early_complexity_slope,distinct_return_gaps,gap_entropy_bits,max_nontrivial_autocorr
210,35,3,0.08571428571428572,2,16,30,35,1.5922077922077917,2,0.9182958340544896,0.04979591836734693
2310,385,21,0.05454545454545454,2,16,41,235,2.1493506493506493,4,1.7814164026211203,0.03598583234946873
30030,5005,189,0.03776223776223776,2,16,41,406,2.1493506493506493,10,2.8442112623926996,0.027944642769817597
