qdim,W,L,fiber_mod,captured_energy,transport_rel_error,eig1_abs,eig1_angle,eig2_abs,eig2_angle,eig3_abs,eig3_angle,eig4_abs,eig4_angle
2,2310,385,11,0.04166666666666671,0.3364921039986982,0.9428466332709001,0.13432091299309584,0.9403266557765303,-0.10406339654853133,,,,
2,30030,5005,143,0.04166666666666669,0.31069941726401706,0.9592312125916092,0.0711299405685243,0.9415828855919558,0.006152488000491872,,,,
2,510510,85085,2431,0.04166666666666672,0.29226999374688784,0.9618151821341479,0.13254368567696936,0.9506162919343222,-0.005300563811083223,,,,
3,2310,385,11,0.06250000000000006,0.3219650129345283,0.9517059537167816,0.13951825028664477,0.9471469786548836,0.07773538068145684,0.9406663902817678,-0.13305728840202505,,
3,30030,5005,143,0.06250000000000003,0.31665733034555626,0.9568201120618756,0.07159476264690269,0.9543644127666084,0.05082308999125123,0.9339505900955867,-0.03462240493507676,,
3,510510,85085,2431,0.06250000000000007,0.3264282613893534,0.9614415651068022,0.13946073655192007,0.9514465123332619,-0.00295745667253677,0.9219641159697096,-0.18068159843339252,,
4,2310,385,11,0.08333333333333341,0.3208601809860603,0.952222061411495,0.0970531888296422,0.9492157748402077,0.1747333700757825,0.9445352238736634,-0.15693420854415363,0.9415436052971731,-0.0007279827167279336
4,30030,5005,143,0.08333333333333338,0.33633379511528017,0.9557738918965517,0.05392250643169267,0.9524495340445336,0.0839917611928817,0.9350417079250654,-0.030874917581580574,0.9223931013994199,-0.3121729547085309
4,510510,85085,2431,0.08333333333333341,0.3286162508727738,0.9623682165531138,0.16138281327695833,0.9493825386786285,0.0433474991796061,0.939910954357983,-0.02610838356074268,0.9243045146493853,-0.19849168687446714
