W,L,fiber_mod,num_torus_modes,pc1_energy_fraction,pc2_energy_fraction,transport_rel_error_C2,transport_rel_error_C1,transport_rel_error_single_mode_10,radius_mean,radius_std,local_error_mean,local_error_std,A11_real,A11_imag,A12_real,A12_imag,A21_real,A21_imag,A22_real,A22_imag
2310,385,11,80,0.012500000000000039,0.02500000000000006,0.43723116197716544,0.43015615631149867,1.465575263683781e-16,1.330185464044516,0.48021519264250667,0.5657213578881435,0.24960273082841133,0.8983760849663115,-0.08880366629773849,-0.039356673846006586,-0.0034115352507649993,0.042786151028298615,-0.01751126105105044,0.8892746033337932,0.09047063246159148
30030,5005,143,80,0.012500000000000022,0.025000000000000043,0.3585395822655354,0.35520668356521495,1.1424600880482173e-15,1.3527111113139367,0.41251987749418567,0.482932879470686,0.15452216031508748,0.9345988395456802,0.018794176504142775,-0.030155100723604274,-0.0345942508377112,0.033092209355086916,-0.03440114698040939,0.910841528310494,-0.18722608986963207
510510,85085,2431,80,0.01250000000000004,0.025000000000000064,0.4108864394155072,0.41817459299758325,5.81247591145069e-16,1.3280841456274928,0.48599640135797084,0.544428330288158,0.2031086541010885,0.8962843809350416,0.14766285336263402,-0.008626582572392249,-0.07947888604506616,0.003769761204860016,-0.07926681504970176,0.8889706531912692,-0.1850866972009784
