wheel_W,orbit_length_L,admissible_phases,density,effective_spectral_rank,k_for_relL2<=0.20,k_for_relL2<=0.10,k_for_relL2<=0.05,relL2_top13,relL2_top34,relL2_top89
210,35,3,0.08571428571428572,19.991279766862892,34,34,34,0.43214483114346613,0.03829574938304601,
2310,385,21,0.05454545454545454,74.5984512634643,144,233,377,0.6946054527956601,0.547364686416341,0.32285856806846425
30030,5005,189,0.03776223776223776,253.21619928257215,5005,5005,5005,0.787737516036837,0.7164052846488831,0.6005898395275164
