H,num_spin_classes,entropy_rate_bits,avg_row_entropy_bits,max_row_entropy_bits,deterministic_row_fraction,lambda1_abs,lambda2_abs,lambda3_abs,spectral_gap
1,2,0.2297977868811825,0.11940800699131213,0.23881601398262425,0.5,1.0,0.03924418604651163,0.0,0.9607558139534884
2,3,0.22757183690879204,0.08205439404426944,0.24616318213280833,0.6666666666666666,1.000000000000001,0.2021069053998094,0.2021069053998094,0.7978930946001905
3,4,0.22525103475912095,0.06350729095140831,0.25402916380563323,0.75,1.0,0.3638394841233958,0.3638394841233958,0.6361605158766042
5,6,0.21965586893853833,0.13238824203748187,0.5491087450260073,0.6666666666666666,0.9999999999999996,0.6365666245007627,0.6365666245007627,0.36343337549923727
8,12,0.21333377824576336,0.06829188133071169,0.5491087450260073,0.8333333333333334,1.0,0.7414413326402474,0.7414413326402474,0.25855866735975264
13,22,0.19946183824794705,0.042120954086187934,0.5983474220910422,0.9090909090909091,1.0000000000000007,0.8797015822266312,0.8797015822266312,0.1202984177733688
21,47,0.16892583314497203,0.07733245848867847,0.9110397724692714,0.8723404255319149,1.000000000000001,0.9547805201430192,0.9547805201430192,0.045219479856980827
