W,L,fiber_mod,scale_specific_rel_error,shared_Astar_rel_error,error_ratio_shared_over_scale_specific
2310,385,11,0.3364921039986982,0.3705905644775789,1.1013350984277852
30030,5005,143,0.31069941726401706,0.318337702766499,1.0245841642373963
510510,85085,2431,0.29226999374688784,0.2923027840284783,1.000112191748356
