b,spin,b_next,spin_next
0,0,1,0
0,12,1,13
1,0,2,0
1,13,2,0
2,0,3,0
3,0,4,1
4,0,5,0
4,1,5,2
5,0,6,0
5,2,6,3
6,0,7,0
6,3,7,4
7,0,8,0
7,4,8,5
8,0,9,0
8,5,9,6
9,0,10,0
9,6,10,7
10,0,11,0
10,7,11,8
11,0,12,0
11,8,12,9
12,0,13,0
12,9,13,10
13,0,14,0
13,10,14,11
14,0,15,0
14,11,15,12
15,0,16,0
15,12,16,13
16,0,17,0
16,13,17,0
17,0,18,0
18,0,19,1
19,0,20,0
19,1,20,2
20,0,21,0
20,2,21,3
21,0,22,0
21,3,22,4
22,0,23,0
22,4,23,5
23,0,24,1
23,5,24,6
24,0,25,0
24,1,25,2
24,6,25,7
24,14,25,15
25,0,26,0
25,2,26,3
25,7,26,8
25,15,26,16
26,0,27,0
26,3,27,4
26,8,27,9
26,16,27,17
27,0,28,0
27,4,28,5
27,9,28,10
27,17,28,18
28,0,29,0
28,5,29,6
28,10,29,11
28,18,29,19
29,0,30,0
29,6,30,7
29,11,30,12
29,19,30,20
30,0,31,0
30,7,31,8
30,12,31,13
30,20,31,21
31,0,32,0
31,8,32,9
31,13,32,0
31,21,32,9
32,0,33,0
32,9,33,10
33,0,34,0
33,10,34,11
34,0,0,0
34,11,0,12
