label,n,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,score,pred_prime,is_prime_label
prime,100003,-3.165897244620192,-3.5564057803342988,4.761399735150257,0.05800212208327299,2.219971022657394,2.22072861637902,-1.208857449901777,-3.0021173122485907,3.2363628799449744,1.134758915794042,-0.04306321052465334,1.1355757293438253,-0.9652758089864341,-0.024231426964061442,0.9655799032017648,-0.23741939984220062,1.4436131994517742,1.4630061657603561,-2.2498540851046687,-1.6405299636151232,2.7844536206913557,-0.4588319598392677,0.6273115673276016,0.7772043295510875,0.3244153110002924,1,1
prime,100019,-2.5383228558262334,1.9529662529101781,3.2026801441005417,-2.5310967797144435,-1.3234352548583417,2.856209337930746,0.7498616830073738,-1.6460122778838349,1.808770013735019,-0.39791419677470286,0.10193230108655224,0.4107625859297028,-1.635608155869773,0.5406659491682437,1.7226531015087505,0.8713613387668548,0.6757402575946858,1.1026765067016246,1.645937061132414,1.8834657100156633,2.501310034764586,1.661882272822297,0.06954575393944673,1.6633367971075521,0.10341078938153839,0,1
prime,100043,-1.9050888569526938,2.583033172595763,3.209583138604678,-1.694522855573359,-0.9976213997722944,1.966381490287203,-0.2787733181862061,2.468636885589765,2.4843274010940837,-0.24493499939833607,0.07776042641889935,0.25698217418161895,-0.8558675260097083,-0.1317468999777014,0.8659483054615403,1.2773663146288954,0.0885518959197788,1.2804320130407525,-1.7229533356011117,-1.6685917239003665,2.3984925552787932,-1.3732230074591594,-0.35217687483481885,1.4176635635381187,0.1842635250872664,0,1
prime,100049,-2.8302594146276636,-2.0416550417540416,3.4898028115651782,0.9923698622478971,-3.040973113743631,3.198799059336104,-1.3091137528305528,-0.7028722189847556,1.4858695010231038,-3.431138142261061,0.27498300052862756,3.4421395384060784,-0.1670479447592802,3.0146851062712097,3.0193097399607334,2.2613100440503477,-0.9186745827769963,2.440796202955805,-1.3465560221639223,1.7283600640870553,2.190991015946194,1.7936485926943027,-0.9120553641447068,2.012217746999411,0.2548805571767288,0,1
prime,100057,-1.7017296298434563,1.2613053319923364,2.1182008577090716,-0.43691687894596,0.3642310140076539,0.5688238661245874,-1.7626606237326206,0.4967284289191014,1.8313141747264203,2.254403213761146,-5.3055959641040955,5.764692739820072,-0.9085263830552733,0.6566562153987634,1.1209895512132682,-0.24813037523874604,-1.8129353672181767,1.8298369678270867,0.14865010440408932,0.620401593168816,0.6379615900238444,-1.0837231017083164,0.8599624351909977,1.3834706903711134,0.5048425430301829,1,1
prime,100069,-2.6247870914803766,-0.13849052659641103,2.628438110657918,-0.3275076776404836,-3.227718239988284,3.244291342599572,1.6839509767639886,-0.5363290103761565,1.7672972866825374,-1.353646104727073,-2.605271416061623,2.935949067710561,-4.6010295081479065,2.1958622385908004,5.098164719358993,0.31680007340529526,0.4340987490028183,0.5374048849753901,1.3763621374259658,0.2500441168324483,1.3988905581575322,-1.5713356153153852,3.875329334857468,4.181778696866371,0.21230161266474357,0,1
prime,100103,-2.8233904894675046,-2.0481751156077124,3.4880589387523577,-2.2127609523406995,-2.8654402671304595,3.6203672405843577,1.6137529731158975,2.300095565822172,2.80973989368326,-1.5043451105456884,0.4595264509111319,1.5729649616916774,-0.7382464190255044,-2.2529265912792136,2.370798599817572,1.2019173819412634,2.2593461010063307,2.5591502881122574,-2.5967852127307576,1.3204872547596325,2.9132421854421504,3.927880505804611,-1.1627285237292324,4.096362152907559,0.20876471457542456,0,1
prime,100109,0.522524013335788,5.754034477472395,5.777710975157337,0.43201280938409026,1.844327132026781,1.8942485680084504,-1.8273400165898213,4.1375823872396165,4.523136030170436,-4.717536373863981,0.5446614737025566,4.748874136010088,-2.140934682216874,-4.118662985610999,4.6418731243498215,2.434576072407469,-0.7276724337150912,2.540997407147009,-0.9299315949090617,-0.20918322864094607,0.9531686075164045,1.4390080363489628,0.028910306728657353,1.4392984174631898,0.674536828606429,1,1
prime,100129,-4.4183530798362,-0.6613327429640681,4.467572599859392,2.350934294173845,1.304285621428727,2.688503866054203,-0.363485565838426,-2.4726075253266817,2.4991818122887772,-3.225804967177685,-0.8111991891386966,3.3262383875374155,2.654600797638397,-2.2950255369060586,3.509137730251316,-2.183357565611668,2.614337773111477,3.4061433104364807,0.2212121372760566,-0.1327936637068411,0.2580096253997639,-1.4518129953575891,1.374365278120139,1.9991600464173505,0.37294825007258076,1,1
prime,100151,-3.287426421233539,-0.040962389612057004,3.2876816135975035,1.1046502247493097,2.5962808587653528,2.8215113709907422,-3.271055970816885,-2.3862653385739514,4.048959055151861,-1.4573152566283614,1.5819650388032944,2.150902401597454,-0.6738297322679854,-1.9825638781989716,2.0939450898310805,5.143642322710223,0.5455727466293918,5.172495139276648,-0.9832740760453611,0.1992623643458059,1.0032613809309812,0.9416329836120187,0.9679623786660692,1.3504161737549456,0.35868539144706496,1,1
prime,100153,-3.2627403606840977,0.1480395871257223,3.2660971174466553,-0.42963545654807755,0.03265953584508641,0.4308750060108982,-0.12633326844308557,1.7904455519927696,1.794897035867575,2.2055963938205014,0.10843225446843607,2.208260176302401,-5.1878610621815255,3.654455913649898,6.345782097213072,2.9424836699635306,-4.369261656484227,5.267699457146861,-1.1889654077775584,-0.49359001482149134,1.2873499305251606,-2.8397618990919304,0.07116238752433024,2.840653398239984,0.33562738873466963,1,1
prime,100169,-4.160994672799079,2.2592480730330613,4.734773333810808,2.9040972894795942,-3.9563859574518188,4.907827514398267,-0.014912826043012806,3.176796443887927,3.1768314463124367,-2.617211128671197,1.3257970732228928,2.933859569135297,1.634984052171397,0.6870360948872325,1.7734687610817113,-0.7738220541086523,2.7927672618987645,2.8979906056711875,0.7934974397324912,-0.8995509188802568,1.1995124186603208,-1.7811022777869443,-0.23112806053191937,1.796036053174626,0.2895022989207645,1,1
prime,100183,-1.5819113803719262,-1.1475965737005276,1.9543340326871972,-1.819027717760329,-1.8991386202933513,2.62975081273304,0.9147303955592253,2.5975080006750524,2.7538662839961647,1.6521089756918708,2.408466611553208,2.920646415868965,-1.439321570445814,1.8296239859024679,2.32791119094785,2.9746224646944612,-1.4299601566383913,3.300479488958876,0.10317551962051097,0.8257410390354406,0.8321619141707289,-4.178771427948774,1.34332120397988,4.389378373312443,0.2851715413027783,0,1
prime,100189,-2.261990263131576,0.44213120416154755,2.3047949913594046,0.9473577926510144,-3.198905553469211,3.336237930261084,-0.9135632756683325,2.315226210104994,2.488949630387684,-2.2979302536726642,0.23794344255349753,2.310216555346776,-1.3879168455959743,4.377250428686901,4.592018563304023,1.1626214308335272,0.7650461430872352,1.3917557948455082,0.9068605153868693,-2.3974054047056947,2.563191110487046,0.026474475484378868,0.1486469035682083,0.15098609138787983,0.20693753833767492,0,1
prime,100193,1.08467619696304,0.42626561216956904,1.165429030175798,1.6162794082531766,-2.4521792911074827,2.9369273741922246,-0.9252164212314647,-2.9826185267128054,3.1228254357243257,1.7361706788520297,-0.2805839262755372,1.7586972353960513,-2.873380964717912,-4.424960041381075,5.276039190171207,1.1827753532408207,-3.686472755613246,3.871568017497906,-3.0254974515234054,-2.4075514133272993,3.866515050661112,-1.332790862343384,2.0450268396836973,2.4409969802875033,0.1982917111986304,0,1
prime,100207,-4.041212728666728,0.6867585185757787,4.09915083659706,-0.17403192073776053,1.3842808563783144,1.39517762265998,0.020882376862303154,2.7409825940351777,2.7410621398405457,-2.0465861468091298,-5.580619267526793,5.944058063764377,0.844582552142437,1.6543547281888369,1.8574738905471033,1.3235126875491785,0.3946609228462483,1.3811021244374007,0.21809190342079998,-1.3476682015707486,1.3652009595157202,-0.22941978807313979,2.139308955948507,2.1515752945600153,0.5986781173397127,1,1
prime,100213,-0.5837362502117922,-1.0808524844811815,1.228409582761575,-0.9131523463203505,0.7906698595088096,1.2078932214090954,-2.173931476602478,0.1888677187851463,2.182120317526542,-0.4671320210796066,-0.5218210215408424,0.7003638366162592,2.1702904714107305,-4.008011034824839,4.557884727104657,2.9048163577080137,-1.5690565364535782,3.301499127153565,-2.958753100534979,-0.8746431261564049,3.0853234041276774,-2.046128949491622,2.520148512632643,3.2461965750200976,0.16392632595609236,0,1
prime,100237,0.9030724112368176,4.616315694465734,4.703818700896934,-2.188951548815725,3.082388273752149,3.780559000098731,-0.12271649869424084,-1.6181018522790935,1.622748576767457,3.1620905891512003,0.06354072791580079,3.16272893528716,-1.1614540474422803,4.106216755051265,4.267316667858596,0.641711804617828,1.8670890130922095,1.9742885865535236,-2.5403169040175726,0.7592365340444758,2.6513487298854694,-2.1862163101929966,2.630601048314375,3.4204683349428286,0.257736924708709,0,1
prime,100267,-0.7627354708791774,-0.46592790759669145,0.8937864474328929,1.5264743890987733,-0.46199355493628746,1.5948548853664215,-0.08347289854996248,0.7127949684156483,0.7176659332802395,-1.6848638645356615,-5.224314777227604,5.489283298717306,-2.4487267432344253,2.4680349570298454,3.4767023473620493,-1.7069052008918453,1.972349877909119,2.6083882774080522,-2.7260364320892614,-0.7738142066851025,2.833736588948529,-3.6957153543675174,3.1075038298220554,4.828549682137129,0.3223471082466747,1,1
prime,100271,-2.5238920292090556,-0.9181001486580291,2.685691504635426,1.1359667586853128,-0.6150220779410751,1.291771122603758,1.7861260531583847,1.6554751813203028,2.4353324934675014,0.7614479138795031,-0.16293306999178825,0.7786848597785859,-3.306766472672898,-1.9630342662607059,3.845543919305469,-0.33193648572237433,1.9401580988975033,1.9683483632912377,-2.627042499270891,3.4644930646734657,4.34788045927507,0.6763095049972897,-4.067354339165635,4.123198499572776,0.2292349325344918,0,1
