qdim,W,component,rank,kb,kf,loading_abs,loading_real,loading_imag
2,2310,z1,1,-2,-3,0.4822412966915433,0.47505453508081646,-0.0829449030012725
2,2310,z1,2,-2,-2,0.36580361861125793,-0.36041841239422867,0.06253683231755791
2,2310,z1,3,1,3,0.2960482780579643,-0.21437560726245958,0.20417561546849183
2,2310,z1,4,3,-2,0.24516014972051162,-0.1836628610640981,-0.16239289540104107
2,2310,z1,5,-3,2,0.18791506369128896,0.18252202420881436,-0.04469655289637184
2,2310,z1,6,3,3,0.14915996786165533,0.048854373620770955,-0.14093241710341936
2,2310,z1,7,-2,2,0.1485707116361695,0.00905341728742972,0.14829461214588174
2,2310,z1,8,1,-3,0.13306432931213388,-0.09004042673213221,0.09797365609786918
2,2310,z2,1,2,3,0.3168231357835222,-0.31500477109085756,0.03389533238811203
2,2310,z2,2,2,1,0.25492539224696903,0.15891650096105014,-0.19933013152699106
2,2310,z2,3,4,-3,0.241597341967189,-0.14229600004181903,0.19524631627180444
2,2310,z2,4,-2,1,0.20612861369111568,0.18464967027392312,-0.0916160720067864
2,2310,z2,5,-2,2,0.17992626250907487,-0.08745447910098429,0.15724240530359493
2,2310,z2,6,-3,-4,0.17588314599386207,-0.0245980633242864,-0.17415457595306702
2,2310,z2,7,3,-4,0.17247900848215159,0.06109931558517438,0.16129439544512816
2,2310,z2,8,-1,-4,0.16633825332161295,-0.07860822389761188,0.1465918198732385
2,30030,z1,1,0,-1,0.40890737755878404,0.4083853337960284,0.020655811828838883
2,30030,z1,2,-1,-2,0.3296701722653395,-0.12744788891540715,-0.30403857994087635
2,30030,z1,3,2,-2,0.29562624779831204,0.28428364406107587,-0.0811029475830842
2,30030,z1,4,0,4,0.18717530523448195,0.18642197393496313,-0.016776248800414895
2,30030,z1,5,-2,0,0.1808179361044238,0.0063854445451442705,0.18070515243076046
2,30030,z1,6,4,2,0.17485901469831583,0.17008953132299726,-0.04056138996125466
2,30030,z1,7,2,-3,0.15855763388605912,-0.130660881311584,0.08982347888178081
2,30030,z1,8,-1,-3,0.1492545676815739,-0.13764144106156323,-0.05772139704052343
2,30030,z2,1,-2,3,0.6379257350044377,0.6139524563966294,0.17323863502549558
2,30030,z2,2,-2,1,0.2085419734540726,-0.17599588339415215,-0.11187137131738006
2,30030,z2,3,-3,1,0.20684547639376932,0.17356213991190772,0.1125221520135691
